analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,clear,0.0021645021645021645,40.100992,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.004329004329004329,40.215325,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.006493506493506494,40.238009,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.008658008658008658,40.257616,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.010822510822510822,40.264195,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.012987012987012988,40.300732,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.015151515151515152,40.303663,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.017316017316017316,40.323245,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.01948051948051948,40.341541,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.021645021645021644,40.348261,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.023809523809523808,40.419939,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.025974025974025976,40.432919,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.02813852813852814,40.444551,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.030303030303030304,40.447935,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.032467532467532464,40.45041,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03463203463203463,40.46397,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0367965367965368,40.484278,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03896103896103896,40.529554,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.04112554112554113,40.53658,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.04329004329004329,40.537675,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.045454545454545456,40.584058,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.047619047619047616,40.593201,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.049783549783549784,40.617972,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05194805194805195,40.685887,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05411255411255411,40.741237,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05627705627705628,40.76842,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05844155844155844,40.796275,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06060606060606061,40.860343,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06277056277056277,40.912474,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06493506493506493,40.91529,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0670995670995671,40.928887,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06926406926406926,40.934642,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.07142857142857142,40.958112,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0735930735930736,40.959881,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.07575757575757576,40.966836,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.07792207792207792,41.014832,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08008658008658008,41.097051,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08225108225108226,41.465303,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08441558441558442,43.243313,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08658008658008658,45.572477,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08874458874458875,45.601748,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09090909090909091,45.833562,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09307359307359307,49.05345,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09523809523809523,49.428532,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09740259740259741,49.679588,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09956709956709957,49.68856,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10173160173160173,49.987452,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1038961038961039,50.386762,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10606060606060606,50.489758,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10822510822510822,50.522379,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11038961038961038,50.597601,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11255411255411256,50.636747,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11471861471861472,50.702105,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11688311688311688,50.862759,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11904761904761904,50.939667,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12121212121212122,50.976218,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12337662337662338,52.505558,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12554112554112554,52.597351,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1277056277056277,52.830964,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12987012987012986,54.244917,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.13203463203463203,55.685521,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1341991341991342,57.322391,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.13636363636363635,58.684039,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.13852813852813853,64.668167,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1406926406926407,65.915347,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.14285714285714285,68.965726,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.14502164502164502,69.688754,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1471861471861472,69.842987,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.14935064935064934,70.226221,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.15151515151515152,74.213728,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.15367965367965367,74.411827,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.15584415584415584,76.070321,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.15800865800865802,76.19087,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.16017316017316016,76.222612,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.16233766233766234,76.499311,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1645021645021645,76.52705,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.16666666666666666,76.607488,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.16883116883116883,76.638334,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.170995670995671,77.00655,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.17316017316017315,77.122239,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.17532467532467533,77.13733,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1774891774891775,77.138939,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.17965367965367965,77.144718,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.18181818181818182,77.311547,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.18398268398268397,77.323245,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.18614718614718614,77.417078,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.18831168831168832,77.472467,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.19047619047619047,77.561812,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.19264069264069264,77.587327,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.19480519480519481,77.59259,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.19696969696969696,77.648779,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.19913419913419914,77.697227,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.2012987012987013,77.803046,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.20346320346320346,77.829362,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.20562770562770563,77.881166,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.2077922077922078,77.900832,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.20995670995670995,77.942063,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.21212121212121213,77.963023,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.21428571428571427,77.96477,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.21645021645021645,77.987191,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.21861471861471862,78.076906,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.22077922077922077,78.111252,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.22294372294372294,78.192277,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.22510822510822512,78.36787,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.22727272727272727,78.388618,off,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.22943722943722944,78.388715,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.23160173160173161,78.398014,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.23376623376623376,78.447029,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.23593073593073594,78.469629,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.23809523809523808,78.495819,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.24025974025974026,78.500337,off,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
