analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,clear,0.0016313213703099511,40.283721,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0032626427406199023,40.418258,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.004893964110929853,40.427959,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0065252854812398045,40.429597,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.008156606851549755,40.436362,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.009787928221859706,40.436976,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.011419249592169658,40.475318,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.013050570962479609,40.491299,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.01468189233278956,40.502718,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.01631321370309951,40.512909,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.01794453507340946,40.516126,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.01957585644371941,40.518191,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.021207177814029365,40.542595,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.022838499184339316,40.547569,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.024469820554649267,40.555983,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.026101141924959218,40.57528,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.02773246329526917,40.589583,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.02936378466557912,40.60435,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03099510603588907,40.607708,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03262642740619902,40.61251,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03425774877650897,40.616531,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03588907014681892,40.629128,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.037520391517128875,40.635108,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.03915171288743882,40.636279,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.040783034257748776,40.638176,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.04241435562805873,40.65154,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.04404567699836868,40.671709,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.04567699836867863,40.672641,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.04730831973898858,40.691731,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.048939641109298535,40.695043,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05057096247960848,40.697606,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.052202283849918436,40.697814,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.053833605220228384,40.699546,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05546492659053834,40.702383,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.057096247960848286,40.712739,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.05872756933115824,40.719334,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06035889070146819,40.723415,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06199021207177814,40.733625,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0636215334420881,40.73817,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06525285481239804,40.749623,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06688417618270799,40.751698,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.06851549755301795,40.759457,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0701468189233279,40.760575,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.07177814029363784,40.763059,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0734094616639478,40.771731,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.07504078303425775,40.775837,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0766721044045677,40.779157,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.07830342577487764,40.782174,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0799347471451876,40.78808,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08156606851549755,40.794385,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08319738988580751,40.80043,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08482871125611746,40.803276,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0864600326264274,40.810055,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08809135399673736,40.813363,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.08972267536704731,40.831939,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09135399673735727,40.837886,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.0929853181076672,40.841674,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09461663947797716,40.845858,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09624796084828711,40.852048,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09787928221859707,40.853281,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.09951060358890701,40.858526,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10114192495921696,40.860247,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10277324632952692,40.867357,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10440456769983687,40.870767,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10603588907014681,40.876728,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10766721044045677,40.880507,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.10929853181076672,40.883699,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11092985318107668,40.900354,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11256117455138662,40.91059,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11419249592169657,40.911373,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11582381729200653,40.918603,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11745513866231648,40.918857,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.11908646003262642,40.929214,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12071778140293637,40.933565,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12234910277324633,40.935666,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12398042414355628,40.937249,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12561174551386622,40.93776,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.1272430668841762,40.9453,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.12887438825448613,40.947252,on,3dssd+deeplabv3plus,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,clear,0.13050570962479607,40.948383,on,3dssd+deeplabv3plus,1,pass-1-scene-0-bag-0,3dssd
