analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,clear,462,4.002879500000006,3dssd,112.595874,80.931783,40.100992,off,0.8413523625199261,40.100992,68.09214682999999,40.286482570000004,78.65831374999999,80.931783,40.6886545,82.66119325,102.05843234999999,108.19313882999998,3dssd+deeplabv3plus,68.09214682999999,462,3dssd,68.09214682999999
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r15,453,3.0357219999999927,3dssd,112.632013,81.432645,39.932617,off,0.8161844046696509,39.932617,66.46405488000002,40.47598052,79.809589,81.432645,41.415372,82.845311,101.58699759999999,106.39667188000001,3dssd+deeplabv3plus,66.46405488000002,453,3dssd,66.46405488000002
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r25,455,2.960335999999998,3dssd,108.968453,81.192148,40.123624,off,0.7751034215771702,40.123624,62.932311719999994,40.45162404,79.7869325,81.192148,41.479174,82.7472685,99.0525889,103.05593572,3dssd+deeplabv3plus,62.932311719999994,455,3dssd,62.932311719999994
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r50,447,2.328159499999998,3dssd,110.668868,82.01831,40.487843,off,0.8052637212349291,40.487843,66.04636952,40.899735820000004,80.991064,82.01831,56.1160498,83.31922349999999,100.675395,106.53421252,3dssd+deeplabv3plus,66.04636952,447,3dssd,66.04636952
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r7p5,453,2.6903530000000018,3dssd,113.659033,81.20318,40.12835,off,0.7798644432397845,40.12835,63.327472760000006,40.410543319999995,79.926553,81.20318,52.68880360000001,82.616906,99.87548,103.45582276,3dssd+deeplabv3plus,63.327472760000006,453,3dssd,63.327472760000006
single-run exploratory descriptive,deeplabv3plus,3dssd,clear,457,19.110205,3dssd,79.37976,74.327299,39.634777,off,0.5305890047208631,39.634777,39.437247600000006,44.2763558,57.891398,74.327299,47.2299486,77.001603,78.5604344,79.0720246,3dssd+deeplabv3plus,39.437247600000006,457,deeplabv3plus,39.437247600000006
single-run exploratory descriptive,deeplabv3plus,3dssd,r15,457,13.385224000000008,3dssd,79.608795,75.116453,40.819466,off,0.5104015254820405,40.819466,38.33955220000001,43.5590014,64.274425,75.116453,48.855907,77.659649,78.65920320000001,79.1590182,3dssd+deeplabv3plus,38.33955220000001,457,deeplabv3plus,38.33955220000001
single-run exploratory descriptive,deeplabv3plus,3dssd,r25,457,12.332401000000004,3dssd,79.564246,75.480818,39.919026,off,0.5163919039669125,39.919026,38.97768332,44.82810836,65.524969,75.480818,49.6278444,77.85737,78.5451076,78.89670932,3dssd+deeplabv3plus,38.97768332,457,deeplabv3plus,38.97768332
single-run exploratory descriptive,deeplabv3plus,3dssd,r50,454,5.869027500000001,3dssd,81.626047,77.017186,40.100077,off,0.516875237430773,40.100077,39.8082763,46.96811515,72.96678225,77.017186,50.6414167,78.83580975,79.6158512,79.9083533,3dssd+deeplabv3plus,39.8082763,454,deeplabv3plus,39.8082763
single-run exploratory descriptive,deeplabv3plus,3dssd,r7p5,457,11.047009000000003,3dssd,79.417107,75.792386,40.37986,off,0.5101111132719849,40.37986,38.662538399999995,44.436482840000004,66.972662,75.792386,48.9763174,78.019671,78.6321386,79.0423984,3dssd+deeplabv3plus,38.662538399999995,457,deeplabv3plus,38.662538399999995
