analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,clear,613,28.910779999999995,3dssd,92.484392,58.285331,40.283721,on,0.8562697444405009,40.283721,49.90796548,40.47723572,41.612591,58.285331,40.6977308,70.523371,88.33461919999999,90.19168648,3dssd+deeplabv3plus,49.90796548,613,3dssd,49.90796548
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r15,606,28.287040249999997,3dssd,94.888862,58.039039,40.034072,on,0.898530477046665,40.034072,52.1498454,40.372066999999994,42.74215125,58.039039,40.71580075,71.0291915,89.39620875,92.1839174,3dssd+deeplabv3plus,52.1498454,606,3dssd,52.1498454
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r25,607,29.516886,3dssd,93.819022,56.998361,40.354616,on,0.8923203195263806,40.354616,50.86079569999999,40.584503059999996,42.2583405,56.998361,40.858222,71.7752265,89.2243034,91.21541169999999,3dssd+deeplabv3plus,50.86079569999999,607,3dssd,50.86079569999999
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r50,610,29.267979250000003,3dssd,95.319198,56.802124000000006,40.146004,on,0.9041702364862269,40.146004,51.35878988999999,40.59657502,41.727579,56.802124000000006,40.81427275,70.99555825,89.33209235,91.50479388999999,3dssd+deeplabv3plus,51.35878988999999,610,3dssd,51.35878988999999
single-run exploratory descriptive,deeplabv3plus,deeplabv3plus,r7p5,612,28.109750749999996,3dssd,93.878559,57.752109000000004,40.17141,on,0.8942586100188997,40.17141,51.645320719999994,40.310270159999995,41.87833975,57.752109000000004,40.54530295,69.9880905,88.99448964999999,91.81673072,3dssd+deeplabv3plus,51.645320719999994,612,3dssd,51.645320719999994
single-run exploratory descriptive,deeplabv3plus,3dssd,clear,457,5.372956000000002,3dssd,51.135883,43.421929,39.98182,on,0.2462748405304611,39.98182,10.693728640000003,40.435369959999996,41.589354,43.421929,40.7150082,46.96231,49.528899,50.67554864,3dssd+deeplabv3plus,10.693728640000003,457,deeplabv3plus,10.693728640000003
single-run exploratory descriptive,deeplabv3plus,3dssd,r15,456,5.096706250000004,3dssd,51.693102,44.182088500000006,40.416243,on,0.24305653975592384,40.416243,10.738745549999997,40.8092606,42.31150475,44.182088500000006,41.2169855,47.408211,49.89860075,51.15498855,3dssd+deeplabv3plus,10.738745549999997,456,deeplabv3plus,10.738745549999997
single-run exploratory descriptive,deeplabv3plus,3dssd,r25,457,5.338442000000001,3dssd,63.34362,44.330747,40.243737,on,0.2502887433861648,40.243737,11.095486959999995,40.72908008,42.128231,44.330747,41.0023476,47.466673,50.4075238,51.33922396,3dssd+deeplabv3plus,11.095486959999995,457,deeplabv3plus,11.095486959999995
single-run exploratory descriptive,deeplabv3plus,3dssd,r50,457,5.426845999999998,3dssd,51.701218,43.562169,40.421097,on,0.23880286493539835,40.421097,10.402770759999996,40.54494036,41.929036,43.562169,40.7664376,47.355882,49.746078999999995,50.82386776,3dssd+deeplabv3plus,10.402770759999996,457,deeplabv3plus,10.402770759999996
single-run exploratory descriptive,deeplabv3plus,3dssd,r7p5,458,5.034616500000006,3dssd,51.699213,43.822153,40.270914,on,0.24901529552872495,40.270914,10.912386380000001,40.52605632,42.058156999999994,43.822153,40.941537849999996,47.0927735,50.0647861,51.18330038,3dssd+deeplabv3plus,10.912386380000001,458,deeplabv3plus,10.912386380000001
