condition_id,factor_change_on_minus_off,mps_off_label,mps_off_variation_factor,mps_on_label,mps_on_variation_factor,pair_id,target_model
r15,0.0688304107845914,observed_damping,0.9760898719486009,observed_amplification,1.0449202827331923,3dssd+deeplabv3plus,3dssd
r25,0.09486898870805172,observed_damping,0.9242227576862553,observed_amplification,1.019091746394307,3dssd+deeplabv3plus,3dssd
r50,0.059114244532701865,observed_damping,0.9699557525318226,observed_amplification,1.0290699970645245,3dssd+deeplabv3plus,3dssd
r7p5,0.10478509604835762,observed_damping,0.9300260853590716,observed_amplification,1.0348111814074292,3dssd+deeplabv3plus,3dssd
r15,0.03204363108351238,observed_damping,0.9721660240812546,observed_amplification,1.004209655164767,3dssd+deeplabv3plus,deeplabv3plus
r25,0.04922257792589546,observed_damping,0.9883469484315632,observed_amplification,1.0375695263574587,3dssd+deeplabv3plus,deeplabv3plus
r50,-0.036616350192157254,observed_amplification,1.0094080779613026,observed_damping,0.9727917277691454,3dssd+deeplabv3plus,deeplabv3plus
r7p5,0.040091386228540804,observed_damping,0.9803559009021712,observed_amplification,1.020447287130712,3dssd+deeplabv3plus,deeplabv3plus
r15,0.12903878012818937,observed_damping,0.9817765467214385,observed_amplification,1.110815326849628,3dssd+detr,3dssd
r25,0.10720802644818717,observed_damping,0.9591611220094283,observed_amplification,1.0663691484576154,3dssd+detr,3dssd
r50,0.1197856398574797,observed_damping,0.9689089196204688,observed_amplification,1.0886945594779485,3dssd+detr,3dssd
r7p5,0.1643471840650832,observed_damping,0.9065361623660739,observed_amplification,1.0708833464311571,3dssd+detr,3dssd
r15,0.029020737722153855,observed_amplification,1.0277727073129013,observed_amplification,1.0567934450350551,3dssd+detr,detr
r25,-0.012376427640145016,observed_amplification,1.0230102637441831,observed_amplification,1.0106338361040381,3dssd+detr,detr
r50,-0.007327533050087487,observed_amplification,1.0453058638470631,observed_amplification,1.0379783307969757,3dssd+detr,detr
r7p5,0.03894921415288988,observed_damping,0.9922965169846095,observed_amplification,1.0312457311374994,3dssd+detr,detr
r15,0.05159430208047455,observed_damping,0.9844480191980365,observed_amplification,1.036042321278511,3dssd+dino,3dssd
r25,0.05036270933233267,observed_amplification,1.001206971740151,observed_amplification,1.0515696810724837,3dssd+dino,3dssd
r50,-0.01287984944429521,observed_amplification,1.0283725509414496,observed_amplification,1.0154927014971544,3dssd+dino,3dssd
r7p5,0.056683416287515165,observed_damping,0.9889892412178605,observed_amplification,1.0456726575053756,3dssd+dino,3dssd
r15,0.4735004993570706,observed_amplification,1.0006310614674898,observed_amplification,1.4741315608245604,3dssd+dino,dino
r25,0.3520787440817259,observed_amplification,1.0223930276145115,observed_amplification,1.3744717716962374,3dssd+dino,dino
r50,0.33394695015519327,observed_amplification,1.0267386466833879,observed_amplification,1.3606855968385811,3dssd+dino,dino
r7p5,0.29315971952673814,observed_amplification,1.0215045208680746,observed_amplification,1.3146642403948128,3dssd+dino,dino
r15,0.01511529164112202,observed_damping,0.9855773328568972,observed_amplification,1.0006926244980192,3dssd+faster-rcnn,3dssd
r25,0.017128077013540022,observed_damping,0.9838348121876521,observed_amplification,1.0009628892011921,3dssd+faster-rcnn,3dssd
r50,0.017286436830998175,observed_damping,0.9990608123036047,observed_amplification,1.0163472491346028,3dssd+faster-rcnn,3dssd
r7p5,-0.013869667580474143,observed_damping,0.9899625438231705,observed_damping,0.9760928762426964,3dssd+faster-rcnn,3dssd
r15,0.04094355956937945,observed_amplification,1.0084143337349207,observed_amplification,1.0493578933043002,3dssd+faster-rcnn,faster-rcnn
r25,0.07134713667598491,observed_damping,0.9921379434747596,observed_amplification,1.0634850801507445,3dssd+faster-rcnn,faster-rcnn
r50,0.04658956450301166,observed_amplification,1.0321089005532533,observed_amplification,1.078698465056265,3dssd+faster-rcnn,faster-rcnn
r7p5,0.02991297140287852,observed_amplification,1.0182251309220687,observed_amplification,1.0481381023249472,3dssd+faster-rcnn,faster-rcnn
r15,0.054241678219372313,observed_damping,0.8875188067614872,observed_damping,0.9417604849808595,3dssd+mask-rcnn,3dssd
r25,-0.06775162032620907,observed_amplification,1.0664964871060922,observed_damping,0.9987448667798832,3dssd+mask-rcnn,3dssd
r50,0.12248507703247602,observed_damping,0.8624013503371567,observed_damping,0.9848864273696327,3dssd+mask-rcnn,3dssd
r7p5,-0.03118585124411044,observed_amplification,1.0194221582714131,observed_damping,0.9882363070273027,3dssd+mask-rcnn,3dssd
r15,-0.01626800727955402,observed_amplification,1.0224717626622657,observed_amplification,1.0062037553827117,3dssd+mask-rcnn,mask-rcnn
