model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
3dssd+deeplabv3plus,3dssd,lidar,Clear,clear,0.0,49.908,40.284,90.192,92.484,40.284,58.470,613,58.285,41.613,70.523
3dssd+deeplabv3plus,deeplabv3plus,image,Clear,clear,0.0,10.694,39.982,50.676,51.136,39.982,44.401,457,43.422,41.589,46.962
3dssd+deeplabv3plus,3dssd,lidar,7.5 mm/h,r7p5,7.5,51.645,40.171,91.817,93.879,40.171,58.523,612,57.752,41.878,69.988
3dssd+deeplabv3plus,deeplabv3plus,image,7.5 mm/h,r7p5,7.5,10.912,40.271,51.183,51.699,40.271,44.687,458,43.822,42.058,47.093
3dssd+deeplabv3plus,3dssd,lidar,15 mm/h,r15,15.0,52.150,40.034,92.184,94.889,40.034,58.928,606,58.039,42.742,71.029
3dssd+deeplabv3plus,deeplabv3plus,image,15 mm/h,r15,15.0,10.739,40.416,51.155,51.693,40.416,44.963,456,44.182,42.312,47.408
3dssd+deeplabv3plus,3dssd,lidar,25 mm/h,r25,25.0,50.861,40.355,91.215,93.819,40.355,58.940,607,56.998,42.258,71.775
3dssd+deeplabv3plus,deeplabv3plus,image,25 mm/h,r25,25.0,11.095,40.244,51.339,63.344,40.244,44.940,457,44.331,42.128,47.467
3dssd+deeplabv3plus,3dssd,lidar,50 mm/h,r50,50.0,51.359,40.146,91.505,95.319,40.146,58.556,610,56.802,41.728,70.996
3dssd+deeplabv3plus,deeplabv3plus,image,50 mm/h,r50,50.0,10.403,40.421,50.824,51.701,40.421,44.641,457,43.562,41.929,47.356
3dssd+detr,3dssd,lidar,Clear,clear,0.0,22.260,40.099,62.359,64.673,40.099,46.462,751,46.609,41.014,50.161
3dssd+detr,detr,image,Clear,clear,0.0,9.913,24.018,33.932,34.452,24.018,26.236,457,24.972,24.675,26.359
3dssd+detr,3dssd,lidar,7.5 mm/h,r7p5,7.5,23.838,39.960,63.798,65.891,39.960,46.252,754,46.433,40.933,49.848
3dssd+detr,detr,image,7.5 mm/h,r7p5,7.5,10.223,23.565,33.788,34.387,23.565,25.869,457,25.126,24.273,25.841
3dssd+detr,3dssd,lidar,15 mm/h,r15,15.0,24.727,40.198,64.925,67.619,40.198,46.563,747,46.405,40.969,50.143
3dssd+detr,detr,image,15 mm/h,r15,15.0,10.476,23.794,34.270,34.485,23.794,26.045,457,24.869,24.342,25.937
3dssd+detr,3dssd,lidar,25 mm/h,r25,25.0,23.737,39.963,63.700,65.470,39.963,46.891,743,46.826,41.170,50.440
3dssd+detr,detr,image,25 mm/h,r25,25.0,10.018,23.942,33.960,34.769,23.942,26.649,457,25.277,24.832,28.351
3dssd+detr,3dssd,lidar,50 mm/h,r50,50.0,24.234,39.930,64.165,67.581,39.930,46.369,749,46.883,41.084,49.825
3dssd+detr,detr,image,50 mm/h,r50,50.0,10.290,23.576,33.865,34.460,23.576,25.697,457,24.532,24.159,25.394
3dssd+dino,3dssd,lidar,Clear,clear,0.0,45.436,41.283,86.720,90.109,41.283,76.708,473,79.685,77.944,81.143
3dssd+dino,dino,image,Clear,clear,0.0,10.339,69.950,80.289,86.184,69.950,76.971,440,76.928,76.347,77.613
3dssd+dino,3dssd,lidar,7.5 mm/h,r7p5,7.5,47.511,40.971,88.482,89.541,40.971,76.539,475,80.498,73.057,82.360
3dssd+dino,dino,image,7.5 mm/h,r7p5,7.5,13.592,67.784,81.376,91.274,67.784,77.463,436,77.627,76.907,78.268
3dssd+dino,3dssd,lidar,15 mm/h,r15,15.0,47.074,41.343,88.417,89.170,41.343,77.226,472,80.874,76.376,82.475
3dssd+dino,dino,image,15 mm/h,r15,15.0,15.241,66.770,82.011,87.910,66.770,77.248,436,77.191,76.518,77.911
3dssd+dino,3dssd,lidar,25 mm/h,r25,25.0,47.779,41.214,88.993,90.825,41.214,76.816,474,81.047,73.117,82.810
3dssd+dino,dino,image,25 mm/h,r25,25.0,14.211,67.703,81.914,89.332,67.703,77.883,432,77.779,77.103,78.624
3dssd+dino,3dssd,lidar,50 mm/h,r50,50.0,46.140,41.672,87.812,89.150,41.672,76.556,475,80.668,74.530,82.477
3dssd+dino,dino,image,50 mm/h,r50,50.0,14.068,67.645,81.713,86.412,67.645,77.436,434,77.395,76.879,78.093
3dssd+faster-rcnn,3dssd,lidar,Clear,clear,0.0,28.794,40.204,68.998,71.471,40.204,51.305,691,50.937,41.239,59.523
3dssd+faster-rcnn,faster-rcnn,image,Clear,clear,0.0,9.746,35.832,45.577,48.271,35.832,40.345,457,40.476,37.535,42.664
3dssd+faster-rcnn,3dssd,lidar,7.5 mm/h,r7p5,7.5,28.105,40.194,68.299,71.327,40.194,51.383,687,50.261,41.650,59.400
