model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
3dssd+deeplabv3plus,3dssd,lidar,Clear,clear,0.0,68.092,40.101,108.193,112.596,40.101,78.824,462,80.932,78.658,82.661
3dssd+deeplabv3plus,deeplabv3plus,image,Clear,clear,0.0,39.437,39.635,79.072,79.380,39.635,68.620,457,74.327,57.891,77.002
3dssd+deeplabv3plus,3dssd,lidar,7.5 mm/h,r7p5,7.5,63.327,40.128,103.456,113.659,40.128,80.497,453,81.203,79.927,82.617
3dssd+deeplabv3plus,deeplabv3plus,image,7.5 mm/h,r7p5,7.5,38.663,40.380,79.042,79.417,40.380,70.978,457,75.792,66.973,78.020
3dssd+deeplabv3plus,3dssd,lidar,15 mm/h,r15,15.0,66.464,39.933,106.397,112.632,39.933,80.194,453,81.433,79.810,82.845
3dssd+deeplabv3plus,deeplabv3plus,image,15 mm/h,r15,15.0,38.340,40.819,79.159,79.609,40.819,69.654,457,75.116,64.274,77.660
3dssd+deeplabv3plus,3dssd,lidar,25 mm/h,r25,25.0,62.932,40.124,103.056,108.968,40.124,79.927,455,81.192,79.787,82.747
3dssd+deeplabv3plus,deeplabv3plus,image,25 mm/h,r25,25.0,38.978,39.919,78.897,79.564,39.919,70.634,457,75.481,65.525,77.857
3dssd+deeplabv3plus,3dssd,lidar,50 mm/h,r50,50.0,66.046,40.488,106.534,110.669,40.488,81.598,447,82.018,80.991,83.319
3dssd+deeplabv3plus,deeplabv3plus,image,50 mm/h,r50,50.0,39.808,40.100,79.908,81.626,40.100,73.003,454,77.017,72.967,78.836
3dssd+detr,3dssd,lidar,Clear,clear,0.0,48.702,39.384,88.086,88.578,39.384,57.590,617,63.559,40.631,64.635
3dssd+detr,detr,image,Clear,clear,0.0,29.299,24.510,53.810,60.652,24.510,42.992,456,45.651,37.043,49.721
3dssd+detr,3dssd,lidar,7.5 mm/h,r7p5,7.5,44.150,39.562,83.712,88.202,39.562,57.725,618,63.795,40.889,64.686
3dssd+detr,detr,image,7.5 mm/h,r7p5,7.5,29.074,24.697,53.770,54.267,24.697,43.908,457,46.172,37.840,51.831
3dssd+detr,3dssd,lidar,15 mm/h,r15,15.0,47.814,38.034,85.848,87.892,38.034,57.829,615,64.024,40.903,64.869
