adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
52.1498454,52.1498454,single-run exploratory descriptive,deeplabv3plus,clear,49.90796548,49.90796548,deeplabv3plus,r15,3dssd,on,observed_amplification,3dssd+deeplabv3plus,4.492028273319226,3dssd,2.2418799199999953,1.0449202827331923
50.86079569999999,50.86079569999999,single-run exploratory descriptive,deeplabv3plus,clear,49.90796548,49.90796548,deeplabv3plus,r25,3dssd,on,observed_amplification,3dssd+deeplabv3plus,1.9091746394306996,3dssd,0.9528302199999885,1.019091746394307
51.35878988999999,51.35878988999999,single-run exploratory descriptive,deeplabv3plus,clear,49.90796548,49.90796548,deeplabv3plus,r50,3dssd,on,observed_amplification,3dssd+deeplabv3plus,2.906999706452451,3dssd,1.4508244099999885,1.0290699970645245
51.645320719999994,51.645320719999994,single-run exploratory descriptive,deeplabv3plus,clear,49.90796548,49.90796548,deeplabv3plus,r7p5,3dssd,on,observed_amplification,3dssd+deeplabv3plus,3.4811181407429226,3dssd,1.7373552399999923,1.0348111814074292
10.738745549999997,10.738745549999997,single-run exploratory descriptive,deeplabv3plus,clear,10.693728640000003,10.693728640000003,3dssd,r15,3dssd,on,observed_amplification,3dssd+deeplabv3plus,0.4209655164767012,deeplabv3plus,0.04501690999999397,1.004209655164767
11.095486959999995,11.095486959999995,single-run exploratory descriptive,deeplabv3plus,clear,10.693728640000003,10.693728640000003,3dssd,r25,3dssd,on,observed_amplification,3dssd+deeplabv3plus,3.7569526357458694,deeplabv3plus,0.4017583199999919,1.0375695263574587
10.402770759999996,10.402770759999996,single-run exploratory descriptive,deeplabv3plus,clear,10.693728640000003,10.693728640000003,3dssd,r50,3dssd,on,observed_damping,3dssd+deeplabv3plus,-2.7208272230854647,deeplabv3plus,-0.29095788000000766,0.9727917277691454
10.912386380000001,10.912386380000001,single-run exploratory descriptive,deeplabv3plus,clear,10.693728640000003,10.693728640000003,3dssd,r7p5,3dssd,on,observed_amplification,3dssd+deeplabv3plus,2.0447287130711977,deeplabv3plus,0.2186577399999976,1.020447287130712
24.726816379999995,24.726816379999995,single-run exploratory descriptive,detr,clear,22.2600605,22.2600605,detr,r15,3dssd,on,observed_amplification,3dssd+detr,11.081532684962792,3dssd,2.466755879999994,1.110815326849628
23.737441760000003,23.737441760000003,single-run exploratory descriptive,detr,clear,22.2600605,22.2600605,detr,r25,3dssd,on,observed_amplification,3dssd+detr,6.6369148457615434,3dssd,1.4773812600000014,1.0663691484576154
24.234406759999985,24.234406759999985,single-run exploratory descriptive,detr,clear,22.2600605,22.2600605,detr,r50,3dssd,on,observed_amplification,3dssd+detr,8.869455947794847,3dssd,1.974346259999983,1.0886945594779485
23.83792808000002,23.83792808000002,single-run exploratory descriptive,detr,clear,22.2600605,22.2600605,detr,r7p5,3dssd,on,observed_amplification,3dssd+detr,7.088334643115712,3dssd,1.5778675800000173,1.0708833464311571
10.476059279999998,10.476059279999998,single-run exploratory descriptive,detr,clear,9.913062320000002,9.913062320000002,3dssd,r15,3dssd,on,observed_amplification,3dssd+detr,5.679344503505512,detr,0.562996959999996,1.0567934450350551
10.018476199999998,10.018476199999998,single-run exploratory descriptive,detr,clear,9.913062320000002,9.913062320000002,3dssd,r25,3dssd,on,observed_amplification,3dssd+detr,1.063383610403812,detr,0.10541387999999685,1.0106338361040381
10.289543879999997,10.289543879999997,single-run exploratory descriptive,detr,clear,9.913062320000002,9.913062320000002,3dssd,r50,3dssd,on,observed_amplification,3dssd+detr,3.7978330796975657,detr,0.3764815599999949,1.0379783307969757
10.222803199999998,10.222803199999998,single-run exploratory descriptive,detr,clear,9.913062320000002,9.913062320000002,3dssd,r7p5,3dssd,on,observed_amplification,3dssd+detr,3.12457311374994,detr,0.3097408799999961,1.0312457311374994
47.07378708,47.07378708,single-run exploratory descriptive,dino,clear,45.43616231999999,45.43616231999999,dino,r15,3dssd,on,observed_amplification,3dssd+dino,3.6042321278511036,3dssd,1.6376247600000156,1.036042321278511
47.779290719999985,47.779290719999985,single-run exploratory descriptive,dino,clear,45.43616231999999,45.43616231999999,dino,r25,3dssd,on,observed_amplification,3dssd+dino,5.156968107248372,3dssd,2.3431283999999977,1.0515696810724837
46.14009122,46.14009122,single-run exploratory descriptive,dino,clear,45.43616231999999,45.43616231999999,dino,r50,3dssd,on,observed_amplification,3dssd+dino,1.5492701497154426,3dssd,0.7039289000000153,1.0154927014971544
47.511352599999995,47.511352599999995,single-run exploratory descriptive,dino,clear,45.43616231999999,45.43616231999999,dino,r7p5,3dssd,on,observed_amplification,3dssd+dino,4.567265750537564,3dssd,2.075190280000008,1.0456726575053756
15.24101499999999,15.24101499999999,single-run exploratory descriptive,dino,clear,10.338978830000002,10.338978830000002,3dssd,r15,3dssd,on,observed_amplification,3dssd+dino,47.41315608245604,dino,4.902036169999988,1.4741315608245604
14.210634549999995,14.210634549999995,single-run exploratory descriptive,dino,clear,10.338978830000002,10.338978830000002,3dssd,r25,3dssd,on,observed_amplification,3dssd+dino,37.447177169623735,dino,3.8716557199999926,1.3744717716962374
14.068099580000009,14.068099580000009,single-run exploratory descriptive,dino,clear,10.338978830000002,10.338978830000002,3dssd,r50,3dssd,on,observed_amplification,3dssd+dino,36.06855968385811,dino,3.729120750000007,1.3606855968385811
13.592285750000002,13.592285750000002,single-run exploratory descriptive,dino,clear,10.338978830000002,10.338978830000002,3dssd,r7p5,3dssd,on,observed_amplification,3dssd+dino,31.46642403948128,dino,3.25330692,1.3146642403948128
