api_gap:cuKernelGetFunction,api_gap:cuLaunchKernel,api_gap:cudaEventCreateWithFlags,api_gap:cudaEventRecord,api_gap:cudaEventSynchronize,api_gap:cudaLaunchKernel,api_gap:cudaLaunchKernelExC,api_gap:cudaMalloc,api_gap:cudaMemcpyAsync,api_gap:cudaMemsetAsync,api_gap:cudaStreamIsCapturing,api_gap:cudaStreamSynchronize,completion_boundary,completion_monotonic_ns,copy_in_gap_ms,decode_ms,gap_outside_cuda_api_ms,gap_outside_module_ms,gap_without_copy_ms,host_module_gap:backbone,host_module_gap:bbox_head,host_module_gap:data_preprocessor,host_module_gap:decoder,host_module_gap:encoder,host_module_gap:neck,host_module_gap:positional_encoding,host_module_wall:backbone,host_module_wall:bbox_head,host_module_wall:data_preprocessor,host_module_wall:decoder,host_module_wall:encoder,host_module_wall:neck,host_module_wall:positional_encoding,inference_end_ns,inference_start_ns,input_id,latency_ms,model_id,mps_enabled,nonkernel_ms,preprocess_ms,run_id,scene_id,source_frame_id
0.0,0.0,0.001702,0.002315,0.001671,1.343303,0.0,0.111568,0.438648,0.088987,0.0,0.536783,NVTX inference includes CUDA event synchronization,3124281022022471,0.340195,3.387491,5.717052000000001,1.4725520000000003,7.901834000000001,0.087575,1.200568,0.815199,3.581194,1.076589,0.00288,0.005472,3.440155,1.639996,0.88912,10.133619,26.541585,0.338294,1.328113,7309939791,7247614448,1,62.325343,dino,False,8.242029,1.495795,i2-i30-0770,scene-0770,scene-0770:image:1
3.2e-05,0.000544,0.002039,0.002786,0.001777,1.326832,0.0,,0.413086,0.091677,,0.53525,NVTX inference includes CUDA event synchronization,3124281160097030,0.332356,3.333666,5.607722,1.4241790000000005,7.649389,0.088823,1.214712,0.767547,3.401354,1.07601,0.004512,0.004608,3.398307,1.637311,0.841884,9.912487,26.578024,0.329793,1.307156,7448013818,7385875378,3,62.13844,dino,False,7.981745,1.676947,i2-i30-0770,scene-0770,scene-0770:image:3
0.0,0.0,0.001915,0.002273,0.001721,1.31188,0.001536,,0.435791,0.090379,,0.522992,NVTX inference includes CUDA event synchronization,3124281245345685,0.332164,3.427912,5.708553,1.4525139999999999,7.7448760000000005,0.091424,1.195075,0.850922,3.385723,1.09342,0.002554,0.005408,3.437969,1.644648,0.922347,10.05356,26.632345,0.330274,1.325648,7533262559,7471054079,4,62.20848,dino,False,8.07704,1.707944,i2-i30-0770,scene-0770,scene-0770:image:4
0.0,0.0,0.001988,0.002905,0.001581,1.31268,0.00064,,0.4,0.092121,,0.557335,NVTX inference includes CUDA event synchronization,3124281315458830,0.328227,3.349878,5.639983999999999,1.4410149999999993,7.681006999999999,0.087526,1.220275,0.764751,3.411972,1.076591,0.004192,0.002912,3.375681,1.659702,0.843856,10.114028,26.96291,0.329077,1.366877,7603375566,7540130359,5,63.245207,dino,False,8.009234,1.645402,i2-i30-0770,scene-0770,scene-0770:image:5
0.0,0.000491,0.001985,0.002476,0.002093,1.329597,0.0,,0.442841,0.098736,,0.540631,NVTX inference includes CUDA event synchronization,3124281450563755,0.352035,12.52502,5.942331,1.4392430000000003,8.009146,0.106542,1.276853,0.997021,3.45367,1.078924,0.00272,0.006208,3.694037,1.725818,1.068255,10.262729,26.583832,0.341484,1.340292,7738480454,7675969558,6,62.510896,dino,False,8.361181,2.948937,i2-i30-0770,scene-0770,scene-0770:image:6
0.0,0.00048,0.002036,0.002618,0.001859,1.377676,0.0,,0.40539,0.093899,,0.555319,NVTX inference includes CUDA event synchronization,3124281520144397,0.330722,3.339296,5.895149,1.5466460000000009,8.003704,0.091365,1.240054,0.742577,3.617549,1.087275,0.004256,0.004704,3.409904,1.675097,0.839987,10.198806,26.536736,0.324674,1.322031,7808061157,7745475253,7,62.585904,dino,False,8.334426,1.672516,i2-i30-0770,scene-0770,scene-0770:image:7
0.0,0.0,0.00206,0.002964,0.001788,1.320911,0.0,,0.39936,0.098927,,0.54744,NVTX inference includes CUDA event synchronization,3124281589543082,0.333123,3.401011,5.5967139999999995,1.4820599999999997,7.637041,0.094779,1.203333,0.791175,3.344084,1.045644,0.004353,0.004736,3.405202,1.647466,0.866792,10.104091,26.520659,0.340594,1.328831,7877460566,7815214511,8,62.246055,dino,False,7.970164,1.646952,i2-i30-0770,scene-0770,scene-0770:image:8
0.0,0.0,0.002168,0.002333,0.001745,1.389096,0.0,,0.435537,0.100694,,0.54321,NVTX inference includes CUDA event synchronization,3124281659378654,0.336836,3.368665,6.201169,1.518161000000001,8.339116,0.096305,1.235503,0.838543,3.648736,1.329264,0.002784,0.006656,3.594295,1.663058,0.910447,10.203099,26.833002,0.344973,1.349508,7947295491,7884374779,9,62.920712,dino,False,8.675952,1.536412,i2-i30-0770,scene-0770,scene-0770:image:9
0.000512,0.000375,0.002129,0.002272,0.001727,1.3681,0.0,,0.443369,0.093827,,0.538743,NVTX inference includes CUDA event synchronization,3124281746885822,0.336355,3.439902,5.982672999999999,1.4537879999999994,8.097372,0.098813,1.239838,0.912089,3.658628,1.064267,0.00048,0.005824,3.649773,1.647841,0.983161,10.029926,26.606055,0.344297,1.396289,8034803274,7972579447,10,62.223827,dino,False,8.433727,3.172412,i2-i30-0770,scene-0770,scene-0770:image:10
0.0,0.001088,0.002443,0.00237,0.001771,1.363093,0.0,,0.411719,0.090686,,0.563726,NVTX inference includes CUDA event synchronization,3124281816629330,0.313282,3.334959,5.993428000000001,1.4826180000000004,8.117042000000001,0.088532,1.325733,0.771395,3.558802,1.193996,0.004288,0.00496,3.471002,1.762286,0.843588,10.215904,26.73687,0.327171,1.311051,8104546434,8041858116,11,62.688318,dino,False,8.430324,1.621145,i2-i30-0770,scene-0770,scene-0770:image:11
0.0,0.0,0.002929,0.002439,0.001852,1.347174,0.0,,0.417328,0.107324,,0.593606,NVTX inference includes CUDA event synchronization,3124281933480783,0.330693,3.573931,6.4764420000000005,1.4805970000000004,8.618401,0.09643,1.240904,0.924253,4.140114,1.057964,0.002656,0.006176,3.680519,1.688523,0.995613,10.637359,26.514804,0.341176,1.342414,8221397934,8158606329,12,62.791605,dino,False,8.949094,1.733249,i2-i30-0770,scene-0770,scene-0770:image:12
0.002104,0.004232,0.001959,0.002278,0.001785,1.40573,0.003416,,0.471789,0.093656,,0.916409,NVTX inference includes CUDA event synchronization,3124282005200141,0.341987,3.393663,6.030882000000001,1.8256440000000005,8.592253000000001,0.325345,1.229346,0.980742,3.513313,1.05377,0.00112,0.00496,3.493189,1.673639,1.081288,10.100483,26.699477,0.337343,1.316722,8293117137,8228707979,13,64.409158,dino,False,8.93424,1.655806,i2-i30-0770,scene-0770,scene-0770:image:13
