A,B,contrast,effect,executions,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0770,scene-0398,BA-AA,co_runner,3,0.01940378449723895,0.010579504809477539,R,0.0011115589098404932,yolov3,False,3dssd+yolov3,0.01829222558739846,0.009163084026641984
scene-0770,scene-0398,BB-AB,co_runner,3,-0.033521487584106946,-0.045422937039578636,R,-0.06130074172593525,yolov3,False,3dssd+yolov3,0.027779254141828302,0.014310146430442655
scene-0770,scene-0398,AB-AA,own_input,3,0.09602081055202205,0.091968226092562,R,0.08891800697036834,yolov3,False,3dssd+yolov3,0.007102803581653716,0.0036559549890422724
scene-0770,scene-0398,BB-BA,own_input,3,0.048407720036761415,0.03596578424350583,R,0.016394094223079914,yolov3,False,3dssd+yolov3,0.0320136258136815,0.017156430454482466
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,-0.0425581407185342,-0.05600244184905617,R,-0.07252391274728842,yolov3,False,3dssd+yolov3,0.029965772028754223,0.015218035472895306
scene-0770,scene-0398,BA-AA,co_runner,3,0.7297279999999979,0.3683769999999977,P50_ms,0.18694249999999712,yolov3,False,3dssd+yolov3,0.5427855000000008,0.31294006611769953
scene-0770,scene-0398,BB-AB,co_runner,3,0.7505270000000017,0.5600566666666668,P50_ms,0.4171049999999994,yolov3,False,3dssd+yolov3,0.3334220000000023,0.17171509916816804
scene-0770,scene-0398,AB-AA,own_input,3,-0.9335290000000036,-0.9871851666666677,P50_ms,-1.0529659999999978,yolov3,False,3dssd+yolov3,0.11943699999999424,0.06063460149603509
scene-0770,scene-0398,BB-BA,own_input,3,-0.369944499999999,-0.7955054999999985,P50_ms,-1.1922505,yolov3,False,3dssd+yolov3,0.8223060000000011,0.41190965125983675
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.5635845000000046,0.19167966666666914,P50_ms,-0.21718999999999866,yolov3,False,3dssd+yolov3,0.7807745000000033,0.39169759271673416
scene-0770,scene-0398,BA-AA,co_runner,3,1.0586137499999992,0.8373330833333318,P99_ms,0.6027042500000022,yolov3,False,3dssd+yolov3,0.4559094999999971,0.22824766858082599
scene-0770,scene-0398,BB-AB,co_runner,3,-0.3642639999999986,-0.5116701466666669,P99_ms,-0.7137774800000045,yolov3,False,3dssd+yolov3,0.3495134800000059,0.18106375408260206
scene-0770,scene-0398,AB-AA,own_input,3,1.3162295799999981,1.2895285300000008,P99_ms,1.269018299999999,yolov3,False,3dssd+yolov3,0.04721127999999908,0.02420683641068859
scene-0770,scene-0398,BB-BA,own_input,3,0.1012843300000057,-0.05947469999999792,P99_ms,-0.24656440999999774,yolov3,False,3dssd+yolov3,0.34784874000000343,0.17541284163892948
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,-1.2149452499999924,-1.3490032299999986,P99_ms,-1.5155827099999968,yolov3,False,3dssd+yolov3,0.30063746000000435,0.15293448453668212
scene-0770,scene-0398,BA-AA,co_runner,3,0.6622207499999959,0.4689560833333341,P99_minus_P50_ms,0.3288857500000013,yolov3,False,3dssd+yolov3,0.3333349999999946,0.17291698407135167
scene-0770,scene-0398,BB-AB,co_runner,3,-0.781368999999998,-1.0717268133333337,P99_minus_P50_ms,-1.4643044800000062,yolov3,False,3dssd+yolov3,0.6829354800000083,0.3527561356976333
scene-0770,scene-0398,AB-AA,own_input,3,2.369195579999996,2.2767136966666683,P99_minus_P50_ms,2.2168667100000086,yolov3,False,3dssd+yolov3,0.1523288699999874,0.08123914400830017
scene-0770,scene-0398,BB-BA,own_input,3,0.9456860900000024,0.7360308000000005,P99_minus_P50_ms,0.3368004799999973,yolov3,False,3dssd+yolov3,0.6088856100000051,0.3458893472136655
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,-1.2983927099999981,-1.5406828966666677,P99_minus_P50_ms,-1.8800662300000113,yolov3,False,3dssd+yolov3,0.5816735200000132,0.30274796500476864
scene-0770,scene-0398,BA-AA,co_runner,3,0.0,0.0,throughput_hz,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-AB,co_runner,3,0.0005550975265418145,-3.2919411151984455e-05,throughput_hz,-0.00046625254825727325,yolov3,False,3dssd+yolov3,0.0010213500747990878,0.0005279529358251596
scene-0770,scene-0398,AB-AA,own_input,3,-0.18388402821278227,-0.18432123463651648,throughput_hz,-0.18467817852624258,yolov3,False,3dssd+yolov3,0.0007941503134603067,0.0004031131799709931
scene-0770,scene-0398,BB-BA,own_input,3,-0.18407163142452276,-0.18435415404766844,throughput_hz,-0.18486774971878184,yolov3,False,3dssd+yolov3,0.0007961182942590739,0.0004455301894780018
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.0005550975265418145,-3.2919411151984455e-05,throughput_hz,-0.00046625254825727325,yolov3,False,3dssd+yolov3,0.0010213500747990878,0.0005279529358251596
scene-0770,scene-0398,BA-AA,co_runner,3,0.0,0.0,analysis_count,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-AB,co_runner,3,0.0,0.0,analysis_count,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,AB-AA,own_input,3,-3.0,-3.0,analysis_count,-3.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-BA,own_input,3,-3.0,-3.0,analysis_count,-3.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.0,0.0,analysis_count,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BA-AA,co_runner,3,0.0,0.0,analysis_unique_source_count,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-AB,co_runner,3,0.0,0.0,analysis_unique_source_count,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,AB-AA,own_input,3,-3.0,-3.0,analysis_unique_source_count,-3.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-BA,own_input,3,-3.0,-3.0,analysis_unique_source_count,-3.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.0,0.0,analysis_unique_source_count,0.0,yolov3,False,3dssd+yolov3,0.0,0.0
scene-0770,scene-0398,AB-AA,co_runner,3,0.008176989265733084,0.003917109769594751,R,-0.0030334024579304307,3dssd,False,3dssd+yolov3,0.011210391723663515,0.00607024291284159
scene-0770,scene-0398,BB-BA,co_runner,3,0.012627787874839723,0.005333287681175351,R,-0.0011188043883141874,3dssd,False,3dssd+yolov3,0.01374659226315391,0.0069119055475395175
scene-0770,scene-0398,BA-AA,own_input,3,0.004860611862756051,-0.0014660128482492883,R,-0.00831309877098741,3dssd,False,3dssd+yolov3,0.013173710633743462,0.006602258921769894
scene-0770,scene-0398,BB-AB,own_input,3,0.007348091561782743,-4.983493666868797e-05,R,-0.004631661345249071,3dssd,False,3dssd+yolov3,0.011979752907031814,0.006467335982884537
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.015661190332770154,0.0014161779115806003,R,-0.007726546889295787,3dssd,False,3dssd+yolov3,0.02338773722206594,0.012500862662728637
scene-0770,scene-0398,AB-AA,co_runner,3,0.04980399999999463,-0.0984788333333384,P50_ms,-0.24210550000000808,3dssd,False,3dssd+yolov3,0.2919095000000027,0.1460104412827511
scene-0770,scene-0398,BB-BA,co_runner,3,0.14439999999999742,-0.08863316666666539,P50_ms,-0.2236804999999933,3dssd,False,3dssd+yolov3,0.3680804999999907,0.2026616176550998
scene-0770,scene-0398,BA-AA,own_input,3,0.2311160000000001,0.11797683333333235,P50_ms,0.03723500000000257,3dssd,False,3dssd+yolov3,0.19388099999999753,0.10091903163221157
scene-0770,scene-0398,BB-AB,own_input,3,0.14763200000000154,0.12782250000000536,P50_ms,0.10400450000000916,3dssd,False,3dssd+yolov3,0.04362749999999238,0.02208824898559942
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.09459600000000279,0.009845666666673006,P50_ms,-0.08348399999999856,3dssd,False,3dssd+yolov3,0.17808000000000135,0.08934945618375952
scene-0770,scene-0398,AB-AA,co_runner,3,0.19231484000000165,0.07594779000000074,P99_ms,-0.08626197000000246,3dssd,False,3dssd+yolov3,0.2785768100000041,0.1448358564463677
scene-0770,scene-0398,BB-BA,co_runner,3,0.7202767999999864,0.15129175999999234,P99_ms,-0.24152970000000096,3dssd,False,3dssd+yolov3,0.9618064999999874,0.5045226863574808
scene-0770,scene-0398,BA-AA,own_input,3,0.4558082400000032,0.05400234000000618,P99_ms,-0.3380865199999974,3dssd,False,3dssd+yolov3,0.7938947600000006,0.39703657027865297
scene-0770,scene-0398,BB-AB,own_input,3,0.46845224999999147,0.12934630999999777,P99_ms,-0.10237701999999871,3dssd,False,3dssd+yolov3,0.5708292699999902,0.30018291518670587
