A,B,contrast,effect,isolated_B_minus_A,metric,model_id,mps_enabled,pair,paired_minus_isolated_effect,repetition,value
scene-0770,scene-0398,BA-AA,co_runner,,R,yolov3,False,3dssd+yolov3,,1,0.0011115589098404932
scene-0770,scene-0398,BB-AB,co_runner,,R,yolov3,False,3dssd+yolov3,,1,-0.041446581808693705
scene-0770,scene-0398,AB-AA,own_input,-0.03756357903992957,R,yolov3,False,3dssd+yolov3,0.1285294397952252,1,0.09096586075529561
scene-0770,scene-0398,BB-BA,own_input,-0.03756357903992957,R,yolov3,False,3dssd+yolov3,0.08597129907669099,1,0.048407720036761415
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,R,yolov3,False,3dssd+yolov3,,1,-0.0425581407185342
scene-0770,scene-0398,BA-AA,co_runner,,P50_ms,yolov3,False,3dssd+yolov3,,1,0.7297279999999979
scene-0770,scene-0398,BB-AB,co_runner,,P50_ms,yolov3,False,3dssd+yolov3,,1,0.5125379999999993
scene-0770,scene-0398,AB-AA,own_input,0.15188449999999953,P50_ms,yolov3,False,3dssd+yolov3,-1.126945000000001,1,-0.9750605000000014
scene-0770,scene-0398,BB-BA,own_input,0.15188449999999953,P50_ms,yolov3,False,3dssd+yolov3,-1.3441349999999996,1,-1.1922505
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,P50_ms,yolov3,False,3dssd+yolov3,,1,-0.21718999999999866
scene-0770,scene-0398,BA-AA,co_runner,,P99_ms,yolov3,False,3dssd+yolov3,,1,1.0586137499999992
scene-0770,scene-0398,BB-AB,co_runner,,P99_ms,yolov3,False,3dssd+yolov3,,1,-0.45696895999999754
scene-0770,scene-0398,AB-AA,own_input,-0.15902460999999946,P99_ms,yolov3,False,3dssd+yolov3,1.4280429099999985,1,1.269018299999999
scene-0770,scene-0398,BB-BA,own_input,-0.15902460999999946,P99_ms,yolov3,False,3dssd+yolov3,-0.08753979999999828,1,-0.24656440999999774
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,P99_ms,yolov3,False,3dssd+yolov3,,1,-1.5155827099999968
scene-0770,scene-0398,BA-AA,co_runner,,P99_minus_P50_ms,yolov3,False,3dssd+yolov3,,1,0.3288857500000013
scene-0770,scene-0398,BB-AB,co_runner,,P99_minus_P50_ms,yolov3,False,3dssd+yolov3,,1,-0.9695069599999968
scene-0770,scene-0398,AB-AA,own_input,-0.310909109999999,P99_minus_P50_ms,yolov3,False,3dssd+yolov3,2.5549879099999995,1,2.2440788000000005
scene-0770,scene-0398,BB-BA,own_input,-0.310909109999999,P99_minus_P50_ms,yolov3,False,3dssd+yolov3,1.2565952000000014,1,0.9456860900000024
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,P99_minus_P50_ms,yolov3,False,3dssd+yolov3,,1,-1.2983927099999981
scene-0770,scene-0398,BA-AA,co_runner,,throughput_hz,yolov3,False,3dssd+yolov3,,1,0.0
