completed_count,cutoff_P1_ms,cutoff_P99_ms,displayed_count,excluded_above_P99,excluded_below_P1,execution_id,model_id,mps_enabled,original_count,policy,retained_count,scene_id,unique_source_count
384,37.141852549999996,38.81324262000001,376,4,4,i2-i00-0770-a3,3dssd,False,384,p1-p99-linear-per-execution-model-v1,376,scene-0770,384
379,37.04809674,39.52552553999999,371,4,4,i2-i00-0398,3dssd,False,379,p1-p99-linear-per-execution-model-v1,371,scene-0398,379
384,37.18778803,38.84725629,376,4,4,i2-i00-0184,3dssd,False,384,p1-p99-linear-per-execution-model-v1,376,scene-0184,384
385,37.280542399999995,38.814841279999996,377,4,4,i2-i00-0245,3dssd,False,385,p1-p99-linear-per-execution-model-v1,377,scene-0245,385
384,36.95580993,38.53255813,376,4,4,i2-i01-0770,3dssd,True,384,p1-p99-linear-per-execution-model-v1,376,scene-0770,384
382,37.01911223,38.41820414,374,4,4,i2-i01-0398,3dssd,True,382,p1-p99-linear-per-execution-model-v1,374,scene-0398,382
384,37.14026966,38.263337820000004,376,4,4,i2-i01-0184,3dssd,True,384,p1-p99-linear-per-execution-model-v1,376,scene-0184,384
384,37.263102720000006,38.86308202,376,4,4,i2-i01-0245,3dssd,True,384,p1-p99-linear-per-execution-model-v1,376,scene-0245,384
147,118.05099798,127.91235163999998,143,2,2,i2-i20-0770,centerpoint,False,147,p1-p99-linear-per-execution-model-v1,143,scene-0770,147
146,112.0780922,128.2987204,142,2,2,i2-i20-0398,centerpoint,False,146,p1-p99-linear-per-execution-model-v1,142,scene-0398,146
142,119.61116846,136.5080902,138,2,2,i2-i20-0184,centerpoint,False,142,p1-p99-linear-per-execution-model-v1,138,scene-0184,142
188,85.77352587,106.82234240999999,184,2,2,i2-i20-0245,centerpoint,False,188,p1-p99-linear-per-execution-model-v1,184,scene-0245,188
146,118.27175015,127.78395110000005,142,2,2,i2-i21-0770,centerpoint,True,146,p1-p99-linear-per-execution-model-v1,142,scene-0770,146
146,111.63241385,126.04888445,142,2,2,i2-i21-0398,centerpoint,True,146,p1-p99-linear-per-execution-model-v1,142,scene-0398,146
141,119.271107,133.26077639999997,137,2,2,i2-i21-0184,centerpoint,True,141,p1-p99-linear-per-execution-model-v1,137,scene-0184,141
186,86.80500645,105.4521527,182,2,2,i2-i21-0245,centerpoint,True,186,p1-p99-linear-per-execution-model-v1,182,scene-0245,186
232,62.06268421,65.17874599,226,3,3,i2-i30-0770,dino,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,62.03800376,64.60716876,223,3,3,i2-i30-0398,dino,False,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,62.05269575,66.26380983,226,3,3,i2-i30-0184,dino,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,62.0352198,65.7383749,225,3,3,i2-i30-0245,dino,False,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
232,62.44558756,65.5892851,226,3,3,i2-i31-0770,dino,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,62.25234368,65.44981848,223,3,3,i2-i31-0398,dino,True,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,62.2274001,64.73663169,226,3,3,i2-i31-0184,dino,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,62.0469529,66.05431630000001,225,3,3,i2-i31-0245,dino,True,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
232,39.72389378,45.33642865,226,3,3,i2-i60-0770,mask-rcnn,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,39.16499444,47.03389512,223,3,3,i2-i60-0398,mask-rcnn,False,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,32.28404139,38.21107034,226,3,3,i2-i60-0184,mask-rcnn,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,41.0025582,47.393196499999995,225,3,3,i2-i60-0245,mask-rcnn,False,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
232,39.83913578,45.22695963,226,3,3,i2-i61-0770,mask-rcnn,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,39.23388084,47.62219984,223,3,3,i2-i61-0398,mask-rcnn,True,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,32.38574986,38.56205003,226,3,3,i2-i61-0184,mask-rcnn,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,41.383577100000004,47.6897812,225,3,3,i2-i61-0245,mask-rcnn,True,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
383,25.31976878,28.120800480000003,375,4,4,i2-i40-0770,pointpillars,False,383,p1-p99-linear-per-execution-model-v1,375,scene-0770,383
381,24.633375599999997,28.932810399999994,373,4,4,i2-i40-0398,pointpillars,False,381,p1-p99-linear-per-execution-model-v1,373,scene-0398,381
383,26.8223389,30.749726100000007,375,4,4,i2-i40-0184,pointpillars,False,383,p1-p99-linear-per-execution-model-v1,375,scene-0184,383
384,23.34416077,28.20096095,376,4,4,i2-i40-0245,pointpillars,False,384,p1-p99-linear-per-execution-model-v1,376,scene-0245,384
384,25.26828671,27.593048140000004,376,4,4,i2-i41-0770,pointpillars,True,384,p1-p99-linear-per-execution-model-v1,376,scene-0770,384
380,24.88001998,29.365902319999993,372,4,4,i2-i41-0398,pointpillars,True,380,p1-p99-linear-per-execution-model-v1,372,scene-0398,380
385,26.94172152,30.92005012,377,4,4,i2-i41-0184,pointpillars,True,385,p1-p99-linear-per-execution-model-v1,377,scene-0184,385
385,23.38614844,28.01020332,377,4,4,i2-i41-0245,pointpillars,True,385,p1-p99-linear-per-execution-model-v1,377,scene-0245,385
232,33.26294887,34.454197480000005,226,3,3,i2-i50-0770,vit-upernet,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,33.1246862,34.26484464,223,3,3,i2-i50-0398,vit-upernet,False,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,33.09913901,35.81403087,226,3,3,i2-i50-0184,vit-upernet,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,33.0315865,34.678986,225,3,3,i2-i50-0245,vit-upernet,False,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
232,33.07789439,34.55492725,226,3,3,i2-i51-0770,vit-upernet,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,33.01450776,34.60664108,223,3,3,i2-i51-0398,vit-upernet,True,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,33.08095459,34.606274580000004,226,3,3,i2-i51-0184,vit-upernet,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,32.9905159,35.7679943,225,3,3,i2-i51-0245,vit-upernet,True,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
232,8.36281742,12.778651,226,3,3,i2-i10-0770-a2,yolov3,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,7.94586948,12.54825412,223,3,3,i2-i10-0398,yolov3,False,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,8.025179139999999,13.701380649999999,226,3,3,i2-i10-0184,yolov3,False,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,8.042370100000001,16.727041499999984,225,3,3,i2-i10-0245,yolov3,False,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
232,8.28588311,12.84796914,226,3,3,i2-i11-0770,yolov3,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0770,232
229,7.88685196,11.85492612,223,3,3,i2-i11-0398,yolov3,True,229,p1-p99-linear-per-execution-model-v1,223,scene-0398,229
232,7.72802325,14.467141479999997,226,3,3,i2-i11-0184,yolov3,True,232,p1-p99-linear-per-execution-model-v1,226,scene-0184,232
231,7.9343797,12.097484999999992,225,3,3,i2-i11-0245,yolov3,True,231,p1-p99-linear-per-execution-model-v1,225,scene-0245,231
