all_gpu_duration_ns,all_kernel_count,execution_id,input_gpu_duration_ns,input_gpu_duration_ns_fraction,input_kernel_count,input_kernel_count_fraction,model_gpu_duration_ns,model_gpu_duration_ns_fraction,model_kernel_count,model_kernel_count_fraction,module_gpu_duration_ns,module_gpu_duration_ns_fraction,module_kernel_count,module_kernel_count_fraction,unresolved_input_gpu_duration_ns,unresolved_input_gpu_duration_ns_fraction,unresolved_input_kernel_count,unresolved_input_kernel_count_fraction,unresolved_model_gpu_duration_ns,unresolved_model_gpu_duration_ns_fraction,unresolved_model_kernel_count,unresolved_model_kernel_count_fraction,unresolved_module_gpu_duration_ns,unresolved_module_gpu_duration_ns_fraction,unresolved_module_kernel_count,unresolved_module_kernel_count_fraction
16979861729,297464,i2-c00-aa-2,16784600740,0.9885004370402786,292719,0.984048489901299,16979861729,1.0,297464,1.0,16979861729,1.0,297464,1.0,195260989,0.011499562959721437,4745,0.015951510098701018,0,0.0,0,0.0,0,0.0,0,0.0
16858383425,296517,i2-c00-aa-3,16662477983,0.9883793459277072,291772,0.9839975448287956,16858383425,1.0,296517,1.0,16858383425,1.0,296517,1.0,195905442,0.011620654072292819,4745,0.016002455171204348,0,0.0,0,0.0,0,0.0,0,0.0
16650694998,295128,i2-c00-ab-1,16454809717,0.9882356093230025,290383,0.9839222303542869,16650694998,1.0,295128,1.0,16650694998,1.0,295128,1.0,195885281,0.011764390676997494,4745,0.016077769645713048,0,0.0,0,0.0,0,0.0,0,0.0
16676652257,296531,i2-c00-ab-2,16481036828,0.9882701020573305,291786,0.9839983003463382,16676652257,1.0,296531,1.0,16676652257,1.0,296531,1.0,195615429,0.011729897942669562,4745,0.016001699653661845,0,0.0,0,0.0,0,0.0,0,0.0
16715464901,295569,i2-c00-ab-3,16520411795,0.9883309792964041,290824,0.9839462189877829,16715464901,1.0,295569,1.0,16715464901,1.0,295569,1.0,195053106,0.011669020703595925,4745,0.016053781012217112,0,0.0,0,0.0,0,0.0,0,0.0
16800390608,295310,i2-c00-ba-1,16605218488,0.9883828820082872,290565,0.983932139108056,16800390608,1.0,295310,1.0,16800390608,1.0,295310,1.0,195172120,0.011617117991712826,4745,0.01606786089194406,0,0.0,0,0.0,0,0.0,0,0.0
16784367596,295340,i2-c00-ba-2,16589234696,0.9883741285524213,290595,0.9839337712466987,16784367596,1.0,295340,1.0,16784367596,1.0,295340,1.0,195132900,0.011625871447578607,4745,0.01606622875330128,0,0.0,0,0.0,0,0.0,0,0.0
16748064306,295691,i2-c00-ba-3,16549746390,0.9881587559985094,290946,0.9839528426634561,16748064306,1.0,295691,1.0,16748064306,1.0,295691,1.0,198317916,0.01184124400149052,4745,0.016047157336543893,0,0.0,0,0.0,0,0.0,0,0.0
16777065522,294873,i2-c00-bb-2,16581650305,0.9883522409360713,290128,0.9839083266355346,16777065522,1.0,294873,1.0,16777065522,1.0,294873,1.0,195415217,0.011647759063928629,4745,0.01609167336446538,0,0.0,0,0.0,0,0.0,0,0.0
16795366930,294913,i2-c00-bb-3,16600527982,0.98839924433851,290168,0.9839105092010186,16795366930,1.0,294913,1.0,16795366930,1.0,294913,1.0,194838948,0.011600755661490034,4745,0.016089490798981393,0,0.0,0,0.0,0,0.0,0,0.0
14801925541,296537,i2-c01-aa-2,14604355405,0.9866524030638616,291792,0.9839986241177323,14801925541,1.0,296537,1.0,14801925541,1.0,296537,1.0,197570136,0.013347596936138378,4745,0.016001375882267643,0,0.0,0,0.0,0,0.0,0,0.0
14895636883,297489,i2-c01-aa-3,14700066512,0.9868706271147628,292744,0.9840498304138977,14895636883,1.0,297489,1.0,14895636883,1.0,297489,1.0,195570371,0.013129372885237243,4745,0.015950169586102344,0,0.0,0,0.0,0,0.0,0,0.0
14869113094,296530,i2-c01-ab-1,14673695762,0.9868574991148023,291785,0.9839982463831652,14869113094,1.0,296530,1.0,14869113094,1.0,296530,1.0,195417332,0.013142500885197719,4745,0.016001753616834723,0,0.0,0,0.0,0,0.0,0,0.0
14914836418,296560,i2-c01-ab-2,14717900018,0.9867959396616428,291815,0.9839998651200431,14914836418,1.0,296560,1.0,14914836418,1.0,296560,1.0,196936400,0.013204060338357242,4745,0.01600013487995684,0,0.0,0,0.0,0,0.0,0,0.0
14911806103,297497,i2-c01-ab-3,14716813930,0.9869236381124369,292752,0.9840502593303462,14911806103,1.0,297497,1.0,14911806103,1.0,297497,1.0,194992173,0.013076361887563098,4745,0.015949740669653812,0,0.0,0,0.0,0,0.0,0,0.0
14966966408,297730,i2-c01-ba-1,14771510718,0.9869408613160562,292985,0.9840627414100024,14966966408,1.0,297730,1.0,14966966408,1.0,297730,1.0,195455690,0.013059138683943788,4745,0.015937258589997647,0,0.0,0,0.0,0,0.0,0,0.0
14945502567,297745,i2-c01-ba-2,14750718497,0.9869670444920274,293000,0.9840635443080489,14945502567,1.0,297745,1.0,14945502567,1.0,297745,1.0,194784070,0.013032955507972514,4745,0.015936455691951165,0,0.0,0,0.0,0,0.0,0,0.0
14952586721,297284,i2-c01-ba-3,14756617025,0.9868939268063383,292539,0.9840388315550114,14952586721,1.0,297284,1.0,14952586721,1.0,297284,1.0,195969696,0.0131060731936617,4745,0.01596116844498863,0,0.0,0,0.0,0,0.0,0,0.0
14963703806,297252,i2-c01-bb-2,14767778607,0.9869066374515219,292507,0.9840371132910796,14963703806,1.0,297252,1.0,14963703806,1.0,297252,1.0,195925199,0.013093362548478127,4745,0.015962886708920376,0,0.0,0,0.0,0,0.0,0,0.0
14875752341,296776,i2-c01-bb-3,14680028730,0.9868427756449969,292031,0.9840115103647196,14875752341,1.0,296776,1.0,14875752341,1.0,296776,1.0,195723611,0.013157224355003128,4745,0.015988489635280483,0,0.0,0,0.0,0,0.0,0,0.0
24698268902,347196,i2-c10-aa-2,23878124434,0.9667934432468024,332826,0.958611274323437,24698268902,1.0,347196,1.0,24475250388,0.9909702775168207,327674,0.9437723936911716,820144468,0.03320655675319767,14370,0.04138872567656309,0,0.0,0,0.0,223018514,0.0090297224831794,19522,0.05622760630882844
24679105179,343144,i2-c10-aa-3,23859300643,0.9667814319014455,328779,0.958137108619122,24679105179,1.0,343144,1.0,24458590708,0.9910647298838192,323853,0.9437816193784534,819804536,0.03321856809855448,14365,0.041862891380878,0,0.0,0,0.0,220514471,0.008935270116180739,19291,0.05621838062154664
24695063563,342926,i2-c10-ab-1,23869053694,0.9665516200477576,328556,0.9580959157369229,24695063563,1.0,342926,1.0,24472002718,0.9909673913399354,323521,0.9434134477992336,826009869,0.03344837995224236,14370,0.041904084263077165,0,0.0,0,0.0,223060845,0.009032608660064619,19405,0.056586552200766346
24437609454,341866,i2-c10-ab-2,23616664881,0.9664065106472342,327497,0.9579689117958499,24437609454,1.0,341866,1.0,24218320848,0.9910265933984755,322690,0.9439078469341788,820944573,0.03359348935276589,14369,0.04203108820415016,0,0.0,0,0.0,219288606,0.008973406601524453,19176,0.05609215306582111
24347614620,342915,i2-c10-ab-3,23516471929,0.965863485849769,328546,0.9580974877156146,24347614620,1.0,342915,1.0,24124537490,0.9908378240134967,323510,0.9434116326203287,831142691,0.03413651415023095,14369,0.041902512284385345,0,0.0,0,0.0,223077130,0.009162175986503273,19405,0.05658836737967135
24561116749,314601,i2-c10-ba-1,23739783506,0.9665596132540089,300231,0.9543230949679118,24561116749,1.0,314601,1.0,24344028156,0.991161289805406,295673,0.9398349019869613,821333243,0.03344038674599112,14370,0.045676905032088266,0,0.0,0,0.0,217088593,0.00883871019459401,18928,0.06016509801303874
24628830961,317185,i2-c10-ba-2,23805645384,0.9665763438669288,302815,0.9546952094203698,24628830961,1.0,317185,1.0,24408322481,0.9910467337914179,298027,0.9395999180289105,823185577,0.03342365613307114,14370,0.04530479057963018,0,0.0,0,0.0,220508480,0.008953266208582023,19158,0.060400081971089425
24579327994,319466,i2-c10-ba-3,23763768863,0.9668193072162475,305098,0.9550249478817777,24579327994,1.0,319466,1.0,24356327570,0.9909273181083537,299964,0.9389543801218283,815559131,0.033180692783752436,14368,0.04497505211822228,0,0.0,0,0.0,223000424,0.00907268189164635,19502,0.0610456198781717
