analysis_count,camera_scene,cell,completed_count,execution_ids,lidar_scene,model_id,mps_enabled,pair,unique_source_count
1122,scene-0770,AA,1146,i2-s00-0770;i2-c00-aa-2;i2-c00-aa-3,scene-0770,3dssd,False,3dssd+yolov3,384
1123,scene-0398,AB,1147,i2-c00-ab-1;i2-c00-ab-2;i2-c00-ab-3,scene-0770,3dssd,False,3dssd+yolov3,384
1114,scene-0770,BA,1138,i2-c00-ba-1;i2-c00-ba-2;i2-c00-ba-3,scene-0398,3dssd,False,3dssd+yolov3,382
1117,scene-0398,BB,1141,i2-s00-0398;i2-c00-bb-2;i2-c00-bb-3,scene-0398,3dssd,False,3dssd+yolov3,381
678,scene-0770,AA,696,i2-s00-0770;i2-c00-aa-2;i2-c00-aa-3,scene-0770,yolov3,False,3dssd+yolov3,231
669,scene-0398,AB,687,i2-c00-ab-1;i2-c00-ab-2;i2-c00-ab-3,scene-0770,yolov3,False,3dssd+yolov3,228
678,scene-0770,BA,696,i2-c00-ba-1;i2-c00-ba-2;i2-c00-ba-3,scene-0398,yolov3,False,3dssd+yolov3,231
669,scene-0398,BB,687,i2-s00-0398;i2-c00-bb-2;i2-c00-bb-3,scene-0398,yolov3,False,3dssd+yolov3,227
1124,scene-0770,AA,1148,i2-s01-0770;i2-c01-aa-2;i2-c01-aa-3,scene-0770,3dssd,True,3dssd+yolov3,384
1124,scene-0245,AB,1148,i2-c01-ab-1;i2-c01-ab-2;i2-c01-ab-3,scene-0770,3dssd,True,3dssd+yolov3,384
1127,scene-0770,BA,1151,i2-c01-ba-1;i2-c01-ba-2;i2-c01-ba-3,scene-0245,3dssd,True,3dssd+yolov3,384
1125,scene-0245,BB,1149,i2-s01-0245;i2-c01-bb-2;i2-c01-bb-3,scene-0245,3dssd,True,3dssd+yolov3,385
678,scene-0770,AA,696,i2-s01-0770;i2-c01-aa-2;i2-c01-aa-3,scene-0770,yolov3,True,3dssd+yolov3,232
675,scene-0245,AB,693,i2-c01-ab-1;i2-c01-ab-2;i2-c01-ab-3,scene-0770,yolov3,True,3dssd+yolov3,230
678,scene-0770,BA,696,i2-c01-ba-1;i2-c01-ba-2;i2-c01-ba-3,scene-0245,yolov3,True,3dssd+yolov3,232
675,scene-0245,BB,693,i2-s01-0245;i2-c01-bb-2;i2-c01-bb-3,scene-0245,yolov3,True,3dssd+yolov3,231
238,scene-0245,AA,244,i2-s10-0245;i2-c10-aa-2;i2-c10-aa-3,scene-0245,centerpoint,False,centerpoint+dino,183
235,scene-0184,AB,241,i2-c10-ab-1;i2-c10-ab-2;i2-c10-ab-3,scene-0245,centerpoint,False,centerpoint+dino,184
182,scene-0245,BA,188,i2-c10-ba-1;i2-c10-ba-2;i2-c10-ba-3,scene-0184,centerpoint,False,centerpoint+dino,160
182,scene-0184,BB,188,i2-s10-0184;i2-c10-bb-2;i2-c10-bb-3,scene-0184,centerpoint,False,centerpoint+dino,148
476,scene-0245,AA,488,i2-s10-0245;i2-c10-aa-2;i2-c10-aa-3,scene-0245,dino,False,centerpoint+dino,211
475,scene-0184,AB,487,i2-c10-ab-1;i2-c10-ab-2;i2-c10-ab-3,scene-0245,dino,False,centerpoint+dino,219
472,scene-0245,BA,484,i2-c10-ba-1;i2-c10-ba-2;i2-c10-ba-3,scene-0184,dino,False,centerpoint+dino,215
469,scene-0184,BB,481,i2-s10-0184;i2-c10-bb-2;i2-c10-bb-3,scene-0184,dino,False,centerpoint+dino,216
300,scene-0245,AA,312,i2-s11-0245;i2-c11-aa-2;i2-c11-aa-3,scene-0245,centerpoint,True,centerpoint+dino,213
296,scene-0184,AB,308,i2-c11-ab-1;i2-c11-ab-2;i2-c11-ab-3,scene-0245,centerpoint,True,centerpoint+dino,220
236,scene-0245,BA,242,i2-c11-ba-1;i2-c11-ba-2;i2-c11-ba-3,scene-0184,centerpoint,True,centerpoint+dino,184
236,scene-0184,BB,242,i2-s11-0184;i2-c11-bb-2;i2-c11-bb-3,scene-0184,centerpoint,True,centerpoint+dino,201
599,scene-0245,AA,617,i2-s11-0245;i2-c11-aa-2;i2-c11-aa-3,scene-0245,dino,True,centerpoint+dino,230
611,scene-0184,AB,629,i2-c11-ab-1;i2-c11-ab-2;i2-c11-ab-3,scene-0245,dino,True,centerpoint+dino,230
580,scene-0245,BA,592,i2-c11-ba-1;i2-c11-ba-2;i2-c11-ba-3,scene-0184,dino,True,centerpoint+dino,227
584,scene-0184,BB,596,i2-s11-0184;i2-c11-bb-2;i2-c11-bb-3,scene-0184,dino,True,centerpoint+dino,227
374,scene-0770,AA,386,i2-s20-0770;i2-c20-aa-2;i2-c20-aa-3,scene-0770,centerpoint,False,centerpoint+yolov3,235
370,scene-0245,AB,382,i2-c20-ab-1;i2-c20-ab-2;i2-c20-ab-3,scene-0770,centerpoint,False,centerpoint+yolov3,256
479,scene-0770,BA,491,i2-c20-ba-1;i2-c20-ba-2;i2-c20-ba-3,scene-0245,centerpoint,False,centerpoint+yolov3,297
474,scene-0245,BB,486,i2-s20-0245;i2-c20-bb-2;i2-c20-bb-3,scene-0245,centerpoint,False,centerpoint+yolov3,275
678,scene-0770,AA,696,i2-s20-0770;i2-c20-aa-2;i2-c20-aa-3,scene-0770,yolov3,False,centerpoint+yolov3,232
675,scene-0245,AB,693,i2-c20-ab-1;i2-c20-ab-2;i2-c20-ab-3,scene-0770,yolov3,False,centerpoint+yolov3,231
678,scene-0770,BA,696,i2-c20-ba-1;i2-c20-ba-2;i2-c20-ba-3,scene-0245,yolov3,False,centerpoint+yolov3,232
675,scene-0245,BB,693,i2-s20-0245;i2-c20-bb-2;i2-c20-bb-3,scene-0245,yolov3,False,centerpoint+yolov3,231
513,scene-0245,AA,525,i2-s21-0245;i2-c21-aa-2;i2-c21-aa-3,scene-0245,centerpoint,True,centerpoint+yolov3,301
512,scene-0184,AB,524,i2-c21-ab-1;i2-c21-ab-2;i2-c21-ab-3,scene-0245,centerpoint,True,centerpoint+yolov3,286
376,scene-0245,BA,388,i2-c21-ba-1;i2-c21-ba-2;i2-c21-ba-3,scene-0184,centerpoint,True,centerpoint+yolov3,273
373,scene-0184,BB,385,i2-s21-0184;i2-c21-bb-2;i2-c21-bb-3,scene-0184,centerpoint,True,centerpoint+yolov3,268
675,scene-0245,AA,693,i2-s21-0245;i2-c21-aa-2;i2-c21-aa-3,scene-0245,yolov3,True,centerpoint+yolov3,231
678,scene-0184,AB,696,i2-c21-ab-1;i2-c21-ab-2;i2-c21-ab-3,scene-0245,yolov3,True,centerpoint+yolov3,232
675,scene-0245,BA,693,i2-c21-ba-1;i2-c21-ba-2;i2-c21-ba-3,scene-0184,yolov3,True,centerpoint+yolov3,230
678,scene-0184,BB,696,i2-s21-0184;i2-c21-bb-2;i2-c21-bb-3,scene-0184,yolov3,True,centerpoint+yolov3,232
678,scene-0770,AA,696,i2-s40-0770;i2-c40-aa-2;i2-c40-aa-3,scene-0770,mask-rcnn,False,pointpillars+mask-rcnn,231
678,scene-0184,AB,696,i2-c40-ab-1;i2-c40-ab-2;i2-c40-ab-3,scene-0770,mask-rcnn,False,pointpillars+mask-rcnn,230
678,scene-0770,BA,696,i2-c40-ba-1;i2-c40-ba-2;i2-c40-ba-3,scene-0184,mask-rcnn,False,pointpillars+mask-rcnn,231
678,scene-0184,BB,696,i2-s40-0184;i2-c40-bb-2;i2-c40-bb-3,scene-0184,mask-rcnn,False,pointpillars+mask-rcnn,231
927,scene-0770,AA,951,i2-s40-0770;i2-c40-aa-2;i2-c40-aa-3,scene-0770,pointpillars,False,pointpillars+mask-rcnn,335
1109,scene-0184,AB,1133,i2-c40-ab-1;i2-c40-ab-2;i2-c40-ab-3,scene-0770,pointpillars,False,pointpillars+mask-rcnn,382
892,scene-0770,BA,916,i2-c40-ba-1;i2-c40-ba-2;i2-c40-ba-3,scene-0184,pointpillars,False,pointpillars+mask-rcnn,351
1040,scene-0184,BB,1064,i2-s40-0184;i2-c40-bb-2;i2-c40-bb-3,scene-0184,pointpillars,False,pointpillars+mask-rcnn,370
678,scene-0184,AA,696,i2-s41-0184;i2-c41-aa-2;i2-c41-aa-3,scene-0184,mask-rcnn,True,pointpillars+mask-rcnn,231
669,scene-0398,AB,687,i2-c41-ab-1;i2-c41-ab-2;i2-c41-ab-3,scene-0184,mask-rcnn,True,pointpillars+mask-rcnn,225
