analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,scene-0184,0.0033112582781456954,40.933387,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.006622516556291391,41.004767,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.009933774834437087,41.044004,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.013245033112582781,41.096225,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.016556291390728478,41.103538,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.019867549668874173,41.125588,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.023178807947019868,41.160463,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.026490066225165563,41.186287,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.029801324503311258,41.2014,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.033112582781456956,41.201445,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.03642384105960265,41.202799,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.039735099337748346,41.216353,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.04304635761589404,41.217697,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.046357615894039736,41.223851,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.04966887417218543,41.235075,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.052980132450331126,41.243315,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.056291390728476824,41.259513,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.059602649006622516,41.26538,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.06291390728476821,41.282319,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.06622516556291391,41.309855,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.0695364238410596,41.334245,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.0728476821192053,41.354402,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.076158940397351,41.367051,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.07947019867549669,41.401412,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08278145695364239,41.422177,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08609271523178808,41.436746,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08940397350993377,41.446797,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.09271523178807947,41.451245,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.09602649006622517,41.457677,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.09933774834437085,41.495351,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10264900662251655,41.495392,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10596026490066225,41.50493,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10927152317880795,41.508277,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11258278145695365,41.515594,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11589403973509933,41.522189,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11920529801324503,41.526992,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.12251655629139073,41.530615,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.12582781456953643,41.534676,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.1291390728476821,41.57675,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.13245033112582782,41.609145,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.1357615894039735,41.611313,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.1390728476821192,41.62984,off,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
