analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,scene-0184,0.002717391304347826,40.538659,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.005434782608695652,40.586814,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.008152173913043478,41.133753,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.010869565217391304,41.171047,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.01358695652173913,41.218373,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.016304347826086956,41.229162,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.019021739130434784,41.264843,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.021739130434782608,41.28595,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.024456521739130436,41.302719,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.02717391304347826,41.30734,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.029891304347826088,41.312685,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.03260869565217391,41.342956,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.035326086956521736,41.370912,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.03804347826086957,41.381451,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.04076086956521739,41.398619,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.043478260869565216,41.407999,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.04619565217391304,41.428208,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.04891304347826087,41.43482,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.051630434782608696,41.439158,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.05434782608695652,41.452776,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.057065217391304345,41.455628,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.059782608695652176,41.469505,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.0625,41.491119,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.06521739130434782,41.502397,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.06793478260869565,41.502622,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.07065217391304347,41.519507,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.07336956521739131,41.525826,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.07608695652173914,41.530049,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.07880434782608696,41.552002,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08152173913043478,41.5658,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08423913043478261,41.576544,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08695652173913043,41.580128,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.08967391304347826,41.595037,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.09239130434782608,41.595786,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.09510869565217392,41.60832,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.09782608695652174,41.609063,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10054347826086957,41.618538,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10326086956521739,41.624531,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10597826086956522,41.638799,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.10869565217391304,41.643796,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11141304347826086,41.655674,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11413043478260869,41.657772,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11684782608695653,41.657841,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.11956521739130435,41.663883,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.12228260869565218,41.667251,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.125,41.6785,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.12771739130434784,41.697317,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.13043478260869565,41.70191,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.1331521739130435,41.714687,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.1358695652173913,41.717446,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.13858695652173914,41.730619,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.14130434782608695,41.736256,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.14402173913043478,41.739361,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.14673913043478262,41.745221,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.14945652173913043,41.761212,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.15217391304347827,41.775273,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.15489130434782608,41.777628,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.15760869565217392,41.779026,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.16032608695652173,41.793373,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.16304347826086957,41.793783,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.16576086956521738,41.802073,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.16847826086956522,41.81115,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.17119565217391305,41.813502,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.17391304347826086,41.828458,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
single-run exploratory descriptive,scene-0184,0.1766304347826087,41.83123,on,3dssd+detr,0,pass-0-scene-0-bag-0,3dssd
