condition_id,corruption_type,effect,horizontal_gradient_mean,image_height,image_width,input_timestamp_ns,intensity_mean,intensity_std,jpeg_bytes,luminance_mean,luminance_std,modality,point_count,points_0_5m,points_20_40m,points_40m_plus,points_5_20m,rain_rate_mm_per_hour,range_mean_m,range_std_m,severity,vertical_gradient_mean
scene-0434,clean,surrounding_environment,,,,1538985540297552000,32.649566650390625,26.255647659301758,,,,lidar,34720,14213,4230,1727,14550,,11.014915466308594,14.701766014099121,0,
scene-0434,clean,surrounding_environment,2.0558502674102783,900,1600,1538985540262460000,,,136486,105.38877868652344,54.25567626953125,image,,,,,,,,,0,2.3290154933929443
scene-0434,clean,surrounding_environment,,,,1538985540347329000,32.69775390625,26.331621170043945,,,,lidar,34720,14342,4193,1697,14488,,10.925530433654785,14.686823844909668,0,
scene-0434,clean,surrounding_environment,2.051267385482788,900,1600,1538985540362460000,,,136826,105.25109100341797,54.223026275634766,image,,,,,,,,,0,2.3154797554016113
scene-0434,clean,surrounding_environment,,,,1538985540397639000,32.74311447143555,26.192996978759766,,,,lidar,34720,14378,4240,1659,14443,,10.919328689575195,14.748351097106934,0,
scene-0434,clean,surrounding_environment,2.0568015575408936,900,1600,1538985540412460000,,,136680,105.20037841796875,54.164710998535156,image,,,,,,,,,0,2.319715738296509
scene-0434,clean,surrounding_environment,,,,1538985540447429000,32.75239181518555,26.056161880493164,,,,lidar,34688,14429,4278,1650,14331,,10.920650482177734,14.80822467803955,0,
scene-0434,clean,surrounding_environment,,,,1538985540497753000,32.62661361694336,25.86139678955078,,,,lidar,34720,14420,4313,1597,14390,,10.818758964538574,14.58602523803711,0,
scene-0434,clean,surrounding_environment,2.0609130859375,900,1600,1538985540512460000,,,137057,105.58820343017578,53.980262756347656,image,,,,,,,,,0,2.341045618057251
scene-0434,clean,surrounding_environment,,,,1538985540547510000,32.67094039916992,25.70670509338379,,,,lidar,34720,14426,4355,1621,14318,,10.867307662963867,14.643074035644531,0,
scene-0434,clean,surrounding_environment,,,,1538985540597293000,32.83205795288086,25.68614387512207,,,,lidar,34720,14493,4350,1605,14272,,10.818260192871094,14.620051383972168,0,
scene-0434,clean,surrounding_environment,2.092179775238037,900,1600,1538985540612460000,,,138694,105.72113037109375,54.10869598388672,image,,,,,,,,,0,2.3779380321502686
scene-0434,clean,surrounding_environment,,,,1538985540647625000,32.88334655761719,25.581525802612305,,,,lidar,34752,14611,4334,1577,14230,,10.75186824798584,14.514927864074707,0,
scene-0434,clean,surrounding_environment,2.095412492752075,900,1600,1538985540662460000,,,138443,106.35225677490234,54.0333137512207,image,,,,,,,,,0,2.372757911682129
scene-0434,clean,surrounding_environment,,,,1538985540697367000,32.91574478149414,25.6090145111084,,,,lidar,34752,14675,4344,1572,14161,,10.730620384216309,14.524611473083496,0,
scene-0434,clean,surrounding_environment,,,,1538985540747670000,32.72883224487305,25.4270076751709,,,,lidar,34720,14639,4366,1608,14107,,10.781620025634766,14.57492733001709,0,
scene-0434,clean,surrounding_environment,,,,1538985540797461000,32.584712982177734,25.297109603881836,,,,lidar,34752,14754,4323,1596,14079,,10.692649841308594,14.524386405944824,0,
scene-0434,clean,surrounding_environment,2.123955249786377,900,1600,1538985540762460000,,,139512,105.92463684082031,54.6220588684082,image,,,,,,,,,0,2.404445171356201
scene-0434,clean,surrounding_environment,,,,1538985540847757000,32.64910888671875,25.454269409179688,,,,lidar,34720,14774,4284,1633,14029,,10.69006061553955,14.543328285217285,0,
scene-0434,clean,surrounding_environment,2.151249408721924,900,1600,1538985540862460000,,,140764,105.98419952392578,54.604854583740234,image,,,,,,,,,0,2.437235116958618
scene-0434,clean,surrounding_environment,,,,1538985540897528000,32.54570770263672,25.345733642578125,,,,lidar,34720,14790,4275,1644,14011,,10.676836013793945,14.540000915527344,0,
scene-0434,clean,surrounding_environment,2.1669259071350098,900,1600,1538985540912460000,,,141528,105.82577514648438,54.58504104614258,image,,,,,,,,,0,2.4570424556732178
scene-0434,clean,surrounding_environment,,,,1538985540947867000,32.4725227355957,25.30548667907715,,,,lidar,34720,14775,4255,1668,14022,,10.693225860595703,14.591261863708496,0,
scene-0434,clean,surrounding_environment,,,,1538985540997595000,32.64657211303711,25.45777130126953,,,,lidar,34720,14769,4234,1656,14061,,10.65711784362793,14.526257514953613,0,
scene-0434,clean,surrounding_environment,2.2011799812316895,900,1600,1538985541012460000,,,142886,105.86772155761719,55.01780319213867,image,,,,,,,,,0,2.486917495727539
scene-0434,clean,surrounding_environment,,,,1538985541047375000,32.42502975463867,25.298982620239258,,,,lidar,34720,14943,4230,1649,13898,,10.629840850830078,14.512382507324219,0,
scene-0434,clean,surrounding_environment,,,,1538985541097704000,32.56935501098633,25.559940338134766,,,,lidar,34720,14845,4147,1672,14056,,10.59080982208252,14.455011367797852,0,
scene-0434,clean,surrounding_environment,2.216581106185913,900,1600,1538985541112460000,,,144012,105.6137924194336,55.386661529541016,image,,,,,,,,,0,2.5062472820281982
scene-0434,clean,surrounding_environment,,,,1538985541147458000,32.583526611328125,25.47801971435547,,,,lidar,34720,14863,4081,1700,14076,,10.560894012451172,14.427414894104004,0,
scene-0434,clean,surrounding_environment,2.1972434520721436,900,1600,1538985541162460000,,,143249,104.6964340209961,55.42945098876953,image,,,,,,,,,0,2.4833133220672607
scene-0434,clean,surrounding_environment,,,,1538985541197799000,32.68784713745117,25.588953018188477,,,,lidar,34720,14902,4051,1694,14073,,10.558131217956543,14.501392364501953,0,
scene-0434,clean,surrounding_environment,,,,1538985541247555000,32.86301803588867,25.731504440307617,,,,lidar,34720,14916,4079,1708,14017,,10.571819305419922,14.516115188598633,0,
scene-0434,clean,surrounding_environment,,,,1538985541297854000,32.9195442199707,25.77945327758789,,,,lidar,34752,14987,4000,1720,14045,,10.513427734375,14.437551498413086,0,
scene-0434,clean,surrounding_environment,2.154574394226074,900,1600,1538985541262460000,,,141429,104.19071960449219,55.055084228515625,image,,,,,,,,,0,2.4403247833251953
scene-0434,clean,surrounding_environment,,,,1538985541347628000,32.92820739746094,25.815847396850586,,,,lidar,34752,15016,3874,1765,14097,,10.49882698059082,14.468254089355469,0,
scene-0434,clean,surrounding_environment,2.106503486633301,900,1600,1538985541362460000,,,139990,104.02845764160156,54.79743576049805,image,,,,,,,,,0,2.383580446243286
scene-0434,clean,surrounding_environment,,,,1538985541397954000,32.91378402709961,25.831518173217773,,,,lidar,34784,14997,3789,1807,14191,,10.561912536621094,14.656709671020508,0,
scene-0434,clean,surrounding_environment,2.1033082008361816,900,1600,1538985541412460000,,,140329,103.50253295898438,54.729270935058594,image,,,,,,,,,0,2.396204710006714
scene-0434,clean,surrounding_environment,,,,1538985541447732000,32.694541931152344,25.821224212646484,,,,lidar,34784,14928,3721,1770,14365,,10.47908878326416,14.522411346435547,0,
scene-0434,clean,surrounding_environment,,,,1538985541498040000,32.82052230834961,25.870311737060547,,,,lidar,34784,14916,3616,1798,14454,,10.489404678344727,14.570813179016113,0,
scene-0434,clean,surrounding_environment,2.1133992671966553,900,1600,1538985541512460000,,,140385,103.63581848144531,54.562835693359375,image,,,,,,,,,0,2.3820745944976807
scene-0434,clean,surrounding_environment,,,,1538985541547802000,32.862972259521484,25.787490844726562,,,,lidar,34752,14879,3511,1842,14520,,10.568480491638184,14.734418869018555,0,
scene-0434,clean,surrounding_environment,,,,1538985541598116000,32.84084701538086,25.921531677246094,,,,lidar,34784,14911,3414,1839,14620,,10.54549789428711,14.784070014953613,0,
scene-0434,clean,surrounding_environment,2.1293954849243164,900,1600,1538985541612460000,,,141440,103.63066864013672,54.60314178466797,image,,,,,,,,,0,2.407949924468994
scene-0434,clean,surrounding_environment,,,,1538985541647892000,32.77791213989258,25.91088104248047,,,,lidar,34752,14932,3267,1818,14735,,10.50681209564209,14.829642295837402,0,
scene-0434,clean,surrounding_environment,2.102731466293335,900,1600,1538985541662460000,,,139980,105.03385925292969,54.267086029052734,image,,,,,,,,,0,2.3789258003234863
scene-0434,clean,surrounding_environment,,,,1538985541698255000,32.85065460205078,25.9306640625,,,,lidar,34752,14955,3199,1787,14811,,10.513752937316895,14.81469440460205,0,
scene-0434,clean,surrounding_environment,,,,1538985541747967000,32.90443801879883,25.97275161743164,,,,lidar,34752,14945,3032,1819,14956,,10.512145042419434,14.8377685546875,0,
scene-0434,clean,surrounding_environment,,,,1538985541798302000,32.98176956176758,26.10050392150879,,,,lidar,34720,14945,2868,1852,15055,,10.478410720825195,14.828758239746094,0,
scene-0434,clean,surrounding_environment,2.1095635890960693,900,1600,1538985541762460000,,,140086,104.76146697998047,54.33115768432617,image,,,,,,,,,0,2.3785698413848877
scene-0434,clean,surrounding_environment,,,,1538985541848065000,33.02310562133789,26.067611694335938,,,,lidar,34752,14942,2759,1893,15158,,10.498544692993164,14.916415214538574,0,
scene-0434,clean,surrounding_environment,2.1126933097839355,900,1600,1538985541862460000,,,140617,104.6583251953125,54.27753448486328,image,,,,,,,,,0,2.3878650665283203
scene-0434,clean,surrounding_environment,,,,1538985541898384000,33.02943420410156,26.26308822631836,,,,lidar,34720,14976,2754,1881,15109,,10.47677993774414,14.904955863952637,0,
scene-0434,clean,surrounding_environment,2.120621919631958,900,1600,1538985541912460000,,,140676,104.72266387939453,54.27779769897461,image,,,,,,,,,0,2.393150806427002
scene-0434,clean,surrounding_environment,,,,1538985541948171000,33.10105895996094,26.28942108154297,,,,lidar,34752,15032,2714,1869,15137,,10.442914009094238,14.905635833740234,0,
scene-0434,clean,surrounding_environment,,,,1538985541998476000,33.03770065307617,26.30322265625,,,,lidar,34720,15067,2681,1873,15099,,10.406976699829102,14.79587173461914,0,
scene-0434,clean,surrounding_environment,2.1293468475341797,900,1600,1538985542012460000,,,141983,104.38096618652344,54.074378967285156,image,,,,,,,,,0,2.4228830337524414
scene-0434,clean,surrounding_environment,,,,1538985542048226000,33.02413558959961,26.249103546142578,,,,lidar,34720,15055,2632,1880,15153,,10.407679557800293,14.817604064941406,0,
scene-0434,clean,surrounding_environment,,,,1538985542097995000,33.061981201171875,26.299339294433594,,,,lidar,34720,15039,2605,1899,15177,,10.420862197875977,14.794234275817871,0,
scene-0434,clean,surrounding_environment,2.129321813583374,900,1600,1538985542112460000,,,141315,105.04945373535156,53.488712310791016,image,,,,,,,,,0,2.4129421710968018
scene-0434,clean,surrounding_environment,,,,1538985542148332000,33.07991027832031,26.342987060546875,,,,lidar,34752,15093,2573,1890,15196,,10.3608980178833,14.696773529052734,0,
scene-0434,clean,surrounding_environment,2.1557652950286865,900,1600,1538985542162460000,,,142500,105.05677795410156,53.618656158447266,image,,,,,,,,,0,2.4369890689849854
scene-0434,clean,surrounding_environment,,,,1538985542198079000,33.16390609741211,26.40716552734375,,,,lidar,34752,15164,2555,1935,15098,,10.402941703796387,14.846879959106445,0,
scene-0434,clean,surrounding_environment,,,,1538985542248400000,33.10097885131836,26.36883544921875,,,,lidar,34720,15114,2516,1951,15139,,10.432408332824707,14.901430130004883,0,
scene-0434,clean,surrounding_environment,,,,1538985542298183000,33.006473541259766,26.324586868286133,,,,lidar,34752,15162,2489,1924,15177,,10.370208740234375,14.779991149902344,0,
