analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,detr,detr,scene-0184,302,24.21938150000001,3dssd,90.407498,65.89409649999999,40.933387,off,0.7432108647244295,40.933387,48.97320844,41.096298129999994,42.460381749999996,65.89409649999999,41.2441249,66.67976325000001,74.98389884999997,89.90659544,3dssd+detr,48.97320844,302,3dssd,48.97320844
single-run exploratory descriptive,detr,detr,scene-0245,298,24.2562595,3dssd,91.054645,65.6430685,40.750442,off,0.7624884473522135,40.750442,50.05208138,41.223047480000005,42.384198,65.6430685,41.43119205,66.6404575,85.76806684999998,90.80252338,3dssd+detr,50.05208138,298,3dssd,50.05208138
single-run exploratory descriptive,detr,detr,scene-0252-fixed,614,23.976875499999984,3dssd,90.694297,63.983073,39.550664,off,0.7512042894532435,39.550664,48.06435889000001,39.94920707,41.1827905,63.983073,40.263668,65.15966599999999,82.2683054,87.61502289,3dssd+detr,48.06435889000001,614,3dssd,48.06435889000001
single-run exploratory descriptive,detr,detr,scene-0398,302,24.05297975,3dssd,90.394878,65.561043,40.847976,off,0.7486321347877274,40.847976,49.08110357999999,41.308771879999995,42.4195465,65.561043,41.54149025,66.47252625,81.12392634999999,89.92907957999999,3dssd+detr,49.08110357999999,302,3dssd,49.08110357999999
single-run exploratory descriptive,detr,detr,scene-0434,316,23.899629499999996,3dssd,87.524931,64.22391999999999,39.771051,off,0.7127590639126358,39.771051,45.7761811,39.93504635,41.0736635,64.22391999999999,40.23201025,64.973293,65.7207665,85.5472321,3dssd+detr,45.7761811,316,3dssd,45.7761811
single-run exploratory descriptive,detr,detr,scene-0738,306,24.528716749999987,3dssd,90.236353,65.83330000000001,40.869163,off,0.7424033923561479,40.869163,48.87486525,40.99100855,42.094552500000006,65.83330000000001,41.24085125,66.62326924999999,86.186635,89.74402825,3dssd+detr,48.87486525,306,3dssd,48.87486525
single-run exploratory descriptive,detr,detr,scene-0770,299,24.3972665,3dssd,90.723476,65.884481,41.265695,off,0.7434281593566775,41.265695,48.98037843999999,41.29837386,42.194568000000004,65.884481,41.5181563,66.5918345,86.73009729999998,90.24607343999999,3dssd+detr,48.98037843999999,299,3dssd,48.98037843999999
single-run exploratory descriptive,detr,3dssd,scene-0184,235,17.732899499999995,3dssd,55.344724,46.153097,24.12923,off,0.672733189280884,24.12923,31.04872014,25.17449028,35.0956215,46.153097,26.3210444,52.828520999999995,54.551934599999996,55.17795014,3dssd+detr,31.04872014,235,detr,31.04872014
single-run exploratory descriptive,detr,3dssd,scene-0245,231,17.751850500000003,3dssd,55.361877,46.202057,25.320359,off,0.6496178038133669,25.320359,30.013678799999997,25.9069864,35.021902499999996,46.202057,27.0935245,52.773753,54.604787,55.3340378,3dssd+detr,30.013678799999997,231,detr,30.013678799999997
single-run exploratory descriptive,detr,3dssd,scene-0252-fixed,456,14.396794499999999,3dssd,55.905222,46.195625500000006,23.849928,off,0.6730551965358711,23.849928,31.092205800000002,25.426365,35.4319885,46.195625500000006,27.52453525,49.828783,53.066775500000006,54.9421338,3dssd+detr,31.092205800000002,456,detr,31.092205800000002
