analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,detr,detr,scene-0184,368,10.53403025,3dssd,66.67365,48.926075499999996,40.538659,on,0.47665131898837787,40.538659,23.320678419999957,41.20275542,42.19512425,48.926075499999996,41.4439243,52.7291545,57.42993535,63.85933741999996,3dssd+detr,23.320678419999957,368,3dssd,23.320678419999957
single-run exploratory descriptive,detr,detr,scene-0245,361,11.206936000000006,3dssd,66.644771,48.951989,40.316722,on,0.5140910985251282,40.316722,25.16578179999999,40.7866356,41.702383,48.951989,41.008389,52.909319,57.566394,65.48250379999999,3dssd+detr,25.16578179999999,361,3dssd,25.16578179999999
single-run exploratory descriptive,detr,detr,scene-0252-fixed,759,9.721769000000002,3dssd,67.04548,47.882348,39.543903,on,0.5100228372259437,39.543903,24.42109097999999,39.70071346,40.686167,47.882348,39.8747772,50.407936,53.696891000000015,63.96499397999999,3dssd+detr,24.42109097999999,759,3dssd,24.42109097999999
single-run exploratory descriptive,detr,detr,scene-0398,370,11.084298000000004,3dssd,69.588589,48.5255145,40.859992,on,0.5410156611528559,40.859992,26.253063309999995,41.00032259,41.73879475,48.5255145,41.1324487,52.82309275,57.99146900000001,67.11305531,3dssd+detr,26.253063309999995,370,3dssd,26.253063309999995
single-run exploratory descriptive,detr,detr,scene-0434,379,9.519653500000004,3dssd,66.153319,48.062372,40.605524,on,0.4434091833836231,40.605524,21.311297119999914,40.82759508,41.7732745,48.062372,40.974309,51.292928,56.3356016,61.916821119999916,3dssd+detr,21.311297119999914,379,3dssd,21.311297119999914
single-run exploratory descriptive,detr,detr,scene-0738,370,9.257175499999995,3dssd,66.972036,48.3698605,40.804886,on,0.3972802206034892,40.804886,19.21638885,40.98008812,42.250059,48.3698605,41.1275039,51.507234499999996,57.0672584,60.021274850000005,3dssd+detr,19.21638885,370,3dssd,19.21638885
single-run exploratory descriptive,detr,detr,scene-0770,371,9.422623999999999,3dssd,61.228954,48.738771,40.886645,on,0.3797601461883397,40.886645,18.50904280000001,41.0106355,42.1921735,48.738771,41.2376375,51.6147975,56.905336500000004,59.39568780000001,3dssd+detr,18.50904280000001,371,3dssd,18.50904280000001
single-run exploratory descriptive,detr,3dssd,scene-0184,235,5.553583000000003,3dssd,55.813434,25.678954,24.352425,on,0.4160237975425323,24.352425,10.68305596,24.47553904,25.0117865,25.678954,24.6077732,30.565369500000003,34.6249447,35.03548096,3dssd+detr,10.68305596,235,detr,10.68305596
single-run exploratory descriptive,detr,3dssd,scene-0245,231,4.9070819999999955,3dssd,35.269743,26.605851,24.445548,on,0.3921129190718236,24.445548,10.432497899999998,24.925043499999997,25.653730000000003,26.605851,25.212993,30.560812,34.1561085,34.8780459,3dssd+detr,10.432497899999998,231,detr,10.432497899999998
single-run exploratory descriptive,detr,3dssd,scene-0252-fixed,457,3.435625999999999,3dssd,34.708184,24.9314,23.463318,on,0.4011610868222401,23.463318,10.001507519999997,23.61445272,24.386864,24.9314,23.8006608,27.82249,31.3043034,33.46482552,3dssd+detr,10.001507519999997,457,detr,10.001507519999997
