evaluated_model,mps_mode,pair_id,scene-0184_p0_p99_range_ms,scene-0245_p0_p99_range_ms,scene-0252-fixed_p0_p99_range_ms,scene-0398_p0_p99_range_ms,scene-0434_p0_p99_range_ms,scene-0738_p0_p99_range_ms,scene-0770_p0_p99_range_ms
3dssd,off,3dssd+detr,48.97320844,50.05208138,48.06435889000001,49.08110357999999,45.7761811,48.87486525,48.98037843999999
detr,off,3dssd+detr,31.04872014,30.013678799999997,31.092205800000002,30.59529373,30.297790560000003,30.9577954,30.852805380000003
3dssd,off,3dssd+dino,36.21195163,37.36944092,37.28284783000001,37.67082,35.93878204000001,48.84096360000001,35.87289231
dino,off,3dssd+dino,35.862527679999985,74.81681024000001,73.70717865999998,75.54481018,69.40578730000003,64.35715381999998,76.55560596999999
3dssd,off,3dssd+faster-rcnn,35.6177149,35.99258104,34.960848119999994,35.554859699999994,34.213228400000006,35.644815579999985,35.206189339999995
faster-rcnn,off,3dssd+faster-rcnn,40.03098674,40.7375641,39.814954119999996,39.401661829999995,36.55951135,40.60593471999999,39.40922716
3dssd,off,3dssd+mask-rcnn,35.42812708,32.95433426,30.90428959999999,41.92348109999999,34.631181680000005,40.365099580000006,40.189185970000004
mask-rcnn,off,3dssd+mask-rcnn,48.17950029999993,57.55601160000001,56.79819964,60.504426840000015,43.05344509,55.37093054,49.70449300000001
3dssd,off,3dssd+vit-upernet,71.50037842,72.68474528000002,71.49272849999998,73.12071558000001,69.16592086,72.68865706,73.02399896
vit-upernet,off,3dssd+vit-upernet,38.74923958000001,37.94694100000001,36.55675272,38.456124720000005,37.81791012,38.23483244,38.21645686
3dssd,off,3dssd+yolov3,9.91150442,9.96368381,12.162976700000009,9.609369460000003,9.23362499999999,9.245627300000002,9.38686346
yolov3,off,3dssd+yolov3,37.92382356,37.984563099999995,36.902362759999995,36.18155806,36.40489324,38.72116144,38.873004099999996
centerpoint,off,centerpoint+detr,116.32878020000001,89.53733239999998,95.16861285000002,90.42404154000002,109.5359221,105.51289144,107.04603405
detr,off,centerpoint+detr,29.825147640000004,29.480696899999998,29.174585300000004,30.14453421,30.35609799,30.76399796,31.100907999999997
centerpoint,off,centerpoint+dino,156.79919760000004,127.95299959999997,199.46266236,205.07040147999996,204.81531088,135.97217614000002,197.89566615
dino,off,centerpoint+dino,106.7782313,75.82825920000002,93.38118106999998,104.20408786000004,103.52759568000002,97.7692996,101.09599186000001
centerpoint,off,centerpoint+faster-rcnn,150.97633969,124.60369831999999,146.15886514999997,146.32172075000003,144.7936687,143.99192503999996,117.49626522
faster-rcnn,off,centerpoint+faster-rcnn,75.25474582,68.05380899999999,72.52000699999999,74.0766814,72.11576373999999,74.98789566,74.46855905000001
centerpoint,off,centerpoint+mask-rcnn,162.99342899,148.14455252,178.10238791999998,171.91722567999997,156.12538559999996,158.60183643999994,162.45401595999996
mask-rcnn,off,centerpoint+mask-rcnn,89.06044129999998,76.418677,96.84579528,102.26711079000002,88.15505005,98.09024930000001,98.00339285999999
centerpoint,off,centerpoint+vit-upernet,205.33963208,158.35415340000003,197.0982004,198.36306606000002,193.31549028000003,172.23303509999988,165.49473962000002
vit-upernet,off,centerpoint+vit-upernet,40.518404020000006,40.2793696,39.127355040000005,40.74270965,39.43615898,40.41837332,39.701890860000006
centerpoint,off,centerpoint+yolov3,32.14127859999999,43.96428044000001,26.32813649000002,31.746731100000034,29.463261640000013,29.818998249999964,31.866621600000002
yolov3,off,centerpoint+yolov3,43.129022559999996,43.2144107,41.39715575,42.711728539999996,42.03156475,42.83125052,42.58609962
detr,off,pointpillars+detr,17.40763138,14.336040700000002,16.44175272,15.682599880000001,15.09277474,17.600682799999994,15.167401539999997
pointpillars,off,pointpillars+detr,53.42874807999998,54.16439684999999,50.293256199999995,54.34181874000001,49.68977848,53.446851640000006,32.24455899999998
dino,off,pointpillars+dino,25.539642160000014,24.620384140000013,21.931146319999996,19.16548485,22.930161999999996,23.308691089999996,23.02968054
pointpillars,off,pointpillars+dino,72.0725588,70.80338277999999,23.979121399999997,70.85286663,67.73824900000001,69.7212328,71.09684612
faster-rcnn,off,pointpillars+faster-rcnn,21.320726900000004,20.1760704,21.00655028,20.429759059999995,21.58995282,23.263318679999998,20.820450599999994
pointpillars,off,pointpillars+faster-rcnn,68.65723639999999,70.9200895,67.77678605999998,68.6151299,66.14387823999999,70.64950480000002,65.988889
mask-rcnn,off,pointpillars+mask-rcnn,24.446772260000003,23.287084200000002,19.2232634,24.38144026999999,24.06995807,31.69178000000001,22.906945479999997
pointpillars,off,pointpillars+mask-rcnn,67.40092688,72.09457455999998,74.56889351999999,78.04537919999999,67.52520237000002,70.12600779,67.62144688999999
pointpillars,off,pointpillars+vit-upernet,81.37440152,81.40165809999999,76.75386583999999,80.41469188999999,80.70585788999999,79.06712172,79.10884480000001
vit-upernet,off,pointpillars+vit-upernet,22.05600236,19.187408859999998,20.682848719999996,18.46922395,20.290425420000005,20.53350176,20.139630889999992
pointpillars,off,pointpillars+yolov3,19.637675860000005,22.306433640000005,18.154085119999998,21.138152200000004,18.24783599,20.26547419999999,11.817601199999991
yolov3,off,pointpillars+yolov3,17.313317739999995,14.930418999999999,15.754556149999997,16.349232869999994,16.51756244,19.351636279999994,18.067229199999996
