evaluated_model,mps_mode,pair_id,scene-0184_p0_p99_range_ms,scene-0245_p0_p99_range_ms,scene-0252-fixed_p0_p99_range_ms,scene-0398_p0_p99_range_ms,scene-0434_p0_p99_range_ms,scene-0738_p0_p99_range_ms,scene-0770_p0_p99_range_ms
3dssd,on,3dssd+detr,23.320678419999957,25.16578179999999,24.42109097999999,26.253063309999995,21.311297119999914,19.21638885,18.50904280000001
detr,on,3dssd+detr,10.68305596,10.432497899999998,10.001507519999997,10.552720420000004,10.481927120000002,10.717056159999998,10.494644300000004
3dssd,on,3dssd+dino,46.8049885,45.895274,47.10069216000001,49.18679039999999,48.57814566,47.957886479999985,45.40578267999998
dino,on,3dssd+dino,7.445348600000003,11.561662310000003,11.746156650000003,8.031724420000003,10.971385780000006,12.138225660000003,10.732946040000002
3dssd,on,3dssd+faster-rcnn,28.074134239999992,28.695652420000002,30.647341400000002,26.322040740000006,25.379748149999998,29.387359250000003,29.90949602000002
faster-rcnn,on,3dssd+faster-rcnn,11.097331700000005,11.325024399999997,9.851314600000002,10.307004540000001,11.680823160000003,10.708915759999996,10.596983700000003
3dssd,on,3dssd+mask-rcnn,28.303076279999985,40.700402139999994,39.53529,37.382510899999986,30.218887919999993,33.85212267000001,32.89875427
mask-rcnn,on,3dssd+mask-rcnn,13.15885858,13.575378499999992,10.479045880000001,14.747201230000002,11.619565890000004,15.77426664,13.62091989999999
3dssd,on,3dssd+vit-upernet,27.401890680000008,29.82877457999993,32.78227747999999,27.112794870000002,27.991659949999985,32.36441978999999,31.80963554999999
vit-upernet,on,3dssd+vit-upernet,9.4745584,9.036028599999995,8.860114960000004,9.483742869999993,9.196301089999999,9.73132752,9.305419460000003
3dssd,on,3dssd+yolov3,4.252816440000004,4.240539499999997,4.602817799999997,4.283578399999996,4.505280049999996,4.32954659,3.2702534999999955
yolov3,on,3dssd+yolov3,6.850786039999996,5.297009199999991,5.6884818,5.920093239999996,7.042185979999999,5.784613879999998,3.9739738199999994
centerpoint,on,centerpoint+detr,58.89313917999999,55.68512004,49.31472973999999,47.47568097000001,49.7989757,50.35516117,46.04094347999998
detr,on,centerpoint+detr,56.50665674000001,36.202988899999994,48.98180645,53.181368309999996,51.95547953,47.33628368,49.98116431999999
centerpoint,on,centerpoint+dino,106.26163549999998,141.67369368000004,136.88965274,153.69819407999995,136.86909608,136.6513745,141.54716675
dino,on,centerpoint+dino,70.90041214,50.53339507999999,59.376391890000036,71.86784764999999,67.82384051999996,62.08262339999999,67.61999239000001
centerpoint,on,centerpoint+faster-rcnn,74.34151008,69.69118945999995,70.02121606,73.31385812000002,75.31924771999999,62.99806558,70.14335007
faster-rcnn,on,centerpoint+faster-rcnn,57.87790332,33.70616259999999,49.746461100000005,53.707088899999995,53.05487246,47.489993959999985,52.57603803999999
centerpoint,on,centerpoint+mask-rcnn,69.9563953,94.09224543999994,102.18373636000001,108.264807,71.44924075,82.00352145,91.48322565000001
mask-rcnn,on,centerpoint+mask-rcnn,60.19936912,34.5469435,49.366668159999996,54.51478005999998,54.595400659999996,52.107735359999985,54.43194922000001
centerpoint,on,centerpoint+vit-upernet,76.32797409,66.48253840000001,72.38184343999998,65.58997729000001,71.21714112000001,70.50085321,66.37623087999998
vit-upernet,on,centerpoint+vit-upernet,57.95993102,35.22634439999999,47.8021879,53.634366969999995,53.47143818,49.77945912,52.607377680000006
centerpoint,on,centerpoint+yolov3,23.742266480000012,33.385379779999965,14.709385959999992,27.3885571,22.279164439999988,20.275876030000035,16.37475144999999
yolov3,on,centerpoint+yolov3,56.579978880000006,28.54706069999999,46.59638576,46.875184819999994,51.0062475,44.12216576,48.60540732
detr,on,pointpillars+detr,14.371695280000004,12.615042299999995,13.396306599999999,13.013755129999993,13.296088870000002,15.224156280000003,12.82299342
pointpillars,on,pointpillars+detr,19.39272864,21.058461579999996,18.465699939999993,22.937046719999998,18.883626740000004,20.6326276,18.989614339999992
dino,on,pointpillars+dino,22.545366549999997,19.333120829999984,17.78359073999998,19.107480280000004,13.357135629999988,24.407985150000002,18.488419160000007
pointpillars,on,pointpillars+dino,49.3727499,47.042152200000004,48.993082359999995,50.623178960000004,47.60079951999998,50.38801680000002,46.72706840000001
faster-rcnn,on,pointpillars+faster-rcnn,13.531840519999996,13.073936599999996,12.87306204,12.855918560000006,12.56730813,15.852048079999996,13.086518980000001
pointpillars,on,pointpillars+faster-rcnn,29.204396699999997,32.12198633999999,28.037760979999998,29.89095082,31.048267919999997,29.9493578,30.82297971999999
mask-rcnn,on,pointpillars+mask-rcnn,16.98160376,13.739047299999996,15.051639549999997,18.318225849999997,14.75720123,21.591904239999998,16.043278899999997
pointpillars,on,pointpillars+mask-rcnn,29.55678658,39.09253564000001,35.886020040000005,38.376989280000004,30.7518389,35.45323299000001,34.92866748
pointpillars,on,pointpillars+vit-upernet,33.10194783999997,32.165034500000004,28.74659825,32.485964400000015,30.371876920000002,33.052530720000014,29.90212550000001
vit-upernet,on,pointpillars+vit-upernet,13.304694339999998,11.825395899999997,12.566954800000005,11.725125839999997,11.938341479999998,14.45132444,11.824961000000002
pointpillars,on,pointpillars+yolov3,8.542145719999994,13.74211248,8.192849039999995,9.578361769999997,9.35151038,10.254197559999998,8.826912799999995
yolov3,on,pointpillars+yolov3,13.948639959999996,15.193287099999997,13.930906479999999,12.944817249999996,13.99510948,15.405784799999994,12.654637939999995
