scene,scene_token,frame_count,metric,valid_count,missing_count,min,max,range,mean,std,cov,p25,median,p75,iqr,variation_iqr_over_p50,p99,p99_minus_p50_over_p50
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,centerpoint_point_count,391,0,31980.0,34211.0,2231.0,33174.12787723785,724.016863360254,0.021824744452650164,32424.5,33531.0,33736.0,1311.5,0.03911305955682801,34189.4,0.01963556112254336
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,centerpoint_point_density_per_m3,391,0,0.34272119341563784,0.3666302297668038,0.02390903635116598,0.355518345735145,0.0077590970438984695,0.021824744452650164,0.34748478223593965,0.3593428497942387,0.361539780521262,0.014054998285322362,0.03911305955682801,0.3663987482853224,0.019635561122543325
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,centerpoint_points_per_voxel,391,0,1.6270213087501888,2.085811330428095,0.4587900216779064,1.822939171711004,0.12018255225153444,0.06592790045689322,1.7256688386542938,1.8137053087757313,1.9050205391049877,0.17935170045069393,0.09888690273049819,2.077592363732694,0.14549610329755766
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,centerpoint_voxel_count,391,0,15604.0,19878.0,4274.0,18265.68286445013,1074.023373270067,0.058800066837928176,17513.5,18539.0,19109.0,1595.5,0.0860618156319111,19854.0,0.07093154970602514
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,centerpoint_voxel_density_pct,391,0,0.01881269290123457,0.02396556712962963,0.0051528742283950615,0.02202170484236368,0.001294877716616111,0.058800066837928176,0.02111484857253086,0.022351224922839506,0.023038435570987656,0.0019235869984567944,0.0860618156319113,0.023936631944444446,0.07093154970602523
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,object_count,391,0,1.0,3.0,2.0,1.9207161125319694,0.6565471945265184,0.3418241718506907,1.0,2.0,2.0,1.0,0.5,3.0,0.5
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,object_mean_nearest_neighbor_2d_m,290,101,6.227360448738863,59.572236969448284,53.34487652070942,21.41377392198939,14.086497635189883,0.6578241503112504,9.966817088254547,17.628913350901378,28.936962073527777,18.97014498527323,1.076081356103737,58.23676582104229,2.3034801783777903
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,pointpillars_point_count,391,0,31978.0,34167.0,2189.0,33145.02046035806,734.1294160986697,0.02214901079867184,32317.5,33516.0,33710.5,1393.0,0.04156223893065998,34157.1,0.01912817758682416
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,pointpillars_point_density_per_m3,391,0,0.399725,0.4270875,0.027362500000000012,0.4143127557544757,0.009176617701233371,0.022149010798671844,0.40396875,0.41895,0.42138125000000004,0.017412500000000053,0.04156223893066011,0.42696375000000003,0.019128177586824304
scene-0184,93032908bafd484ea10a39b0d5d3fff6,391,pointpillars_points_per_voxel,391,0,4.447697003329634,7.724492125085597,3.2767951217559625,6.090156247522741,0.9641911232314717,0.15831960364295586,5.2175463360653165,6.383720930232558,6.613639680919453,1.3960933448541368,0.2186958609425424,7.710622861156358,0.20785713307731654
