NVTX Range,Op ID,Scale,Input Shape,Engine Config,Kernel Name,Duration (ns),Registers Per Thread,Static Shared Memory (B),Dynamic Shared Memory (B),Block Size,Grid Size
64_scale1280x720_input90x160 | engine_config_0,64,1280x720,90x160,engine_config_0,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,12357056.0,238,0,49152,128,3164
64_scale1280x720_input90x160 | engine_config_1,64,1280x720,90x160,engine_config_1,Kernel,12823744.0,152,0,73728,128,900
64_scale1280x720_input90x160 | engine_config_10,64,1280x720,90x160,engine_config_10,sm80_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,13739872.0,252,0,67584,128,452
64_scale1280x720_input90x160 | engine_config_11,64,1280x720,90x160,engine_config_11,Kernel,13522592.0,255,0,81920,128,456
64_scale1280x720_input90x160 | engine_config_12,64,1280x720,90x160,engine_config_12,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,13503040.0,238,0,49152,128,452
64_scale1280x720_input90x160 | engine_config_13,64,1280x720,90x160,engine_config_13,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_t1r3s3_alignc4_execute_kernel_cudnn,13457056.0,255,0,49152,128,452
64_scale1280x720_input90x160 | engine_config_14,64,1280x720,90x160,engine_config_14,Kernel,12443232.0,116,0,81920,128,1800
64_scale1280x720_input90x160 | engine_config_15,64,1280x720,90x160,engine_config_15,Kernel,14471776.0,191,0,73728,128,904
64_scale1280x720_input90x160 | engine_config_16,64,1280x720,90x160,engine_config_16,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x256x16_stage3_warpsize2x4x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn,15022272.0,255,0,75776,256,226
64_scale1280x720_input90x160 | engine_config_17,64,1280x720,90x160,engine_config_17,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x128x32_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,12758784.0,168,0,98304,128,900
64_scale1280x720_input90x160 | engine_config_18,64,1280x720,90x160,engine_config_18,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,12752736.0,168,0,98304,128,904
64_scale1280x720_input90x160 | engine_config_19,64,1280x720,90x160,engine_config_19,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,12764512.0,198,0,100352,128,2712
64_scale1280x720_input90x160 | engine_config_2,64,1280x720,90x160,engine_config_2,Kernel,12733440.0,170,0,73728,128,904
64_scale1280x720_input90x160 | engine_config_20,64,1280x720,90x160,engine_config_20,Kernel,13188672.0,103,0,81920,128,1800
64_scale1280x720_input90x160 | engine_config_21,64,1280x720,90x160,engine_config_21,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn,12959904.0,198,0,100352,128,904
64_scale1280x720_input90x160 | engine_config_22,64,1280x720,90x160,engine_config_22,Kernel,14466848.0,166,0,73728,128,904
64_scale1280x720_input90x160 | engine_config_23,64,1280x720,90x160,engine_config_23,Kernel,15127616.0,247,0,73728,256,228
64_scale1280x720_input90x160 | engine_config_24,64,1280x720,90x160,engine_config_24,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x256x32_stage2_warpsize2x4x1_g1_tensor16x8x8_t1r3s3_execute_kernel_cudnn,14939872.0,246,0,98304,256,226
64_scale1280x720_input90x160 | engine_config_25,64,1280x720,90x160,engine_config_25,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn,12811648.0,240,0,49152,128,904
64_scale1280x720_input90x160 | engine_config_26,64,1280x720,90x160,engine_config_26,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x256x32_stage2_warpsize2x4x1_g1_tensor16x8x8_execute_kernel_cudnn,15087904.0,255,0,100352,256,226
64_scale1280x720_input90x160 | engine_config_27,64,1280x720,90x160,engine_config_27,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x128x32_stage2_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn,12799584.0,164,0,49152,128,900
64_scale1280x720_input90x160 | engine_config_28,64,1280x720,90x160,engine_config_28,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x64x64_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn,12972800.0,159,0,99328,128,7200
