scene_name,distance,mean_percentage,std_dev_percentage,local_density_avg,local_density_std,global_density_avg,global_density_std
scene-0910,0.5,36.89,0.44,11657.92,143.25,4568.11,105.87
scene-0910,1,47.65,0.39,518.54,2.46,4568.11,105.87
scene-0910,2.5,48.85,0.41,143.71,2.81,4568.11,105.87
scene-0910,5,65.92,0.74,360.63,32.97,4568.11,105.87
scene-0910,10,89.88,0.21,156.42,2.9,4568.11,105.87
scene-0910,25,97.66,0.08,53.25,0.87,4568.11,105.87
scene-0910,50,99.16,0.04,14.65,2.01,4568.11,105.87
scene-0904,0.5,36.64,0.2,12253.76,54.08,4720.63,42.36
scene-0904,1,48.26,0.19,576.45,2.03,4720.63,42.36
scene-0904,2.5,49.46,0.2,132.72,3.93,4720.63,42.36
scene-0904,5,60.92,1.23,249.17,37.83,4720.63,42.36
scene-0904,10,82.82,0.62,155.16,9.66,4720.63,42.36
scene-0904,25,98.24,0.1,129.31,0.87,4720.63,42.36
scene-0904,50,99.65,0.06,12.12,0.69,4720.63,42.36
scene-0877,0.5,22.49,0.4,3948.42,91.08,1653.31,55.01
scene-0877,1,30.68,0.39,400.7,1.71,1653.31,55.01
scene-0877,2.5,32.57,0.38,287.79,3.17,1653.31,55.01
scene-0877,5,49.44,0.55,278.72,17.07,1653.31,55.01
scene-0877,10,74.53,0.37,137.82,2.86,1653.31,55.01
scene-0877,25,93.2,0.36,94.12,3.88,1653.31,55.01
scene-0877,50,99.81,0.05,33.9,1.32,1653.31,55.01
scene-0895,0.5,18.54,0.78,5394.52,220.13,1244.63,81.41
scene-0895,1,29.09,0.65,501.01,11.77,1244.63,81.41
scene-0895,2.5,30.4,0.67,157.79,11.24,1244.63,81.41
scene-0895,5,47.2,0.73,404.99,60.75,1244.63,81.41
scene-0895,10,71.28,0.8,142.83,9.11,1244.63,81.41
scene-0895,25,94.36,0.53,140.96,6.49,1244.63,81.41
scene-0895,50,99.9,0.06,27.83,2.16,1244.63,81.41
scene-0896,0.5,24.07,1.27,7033.2,300.61,1990.96,190.66
scene-0896,1,34.12,1.19,486.31,4.89,1990.96,190.66
scene-0896,2.5,35.48,1.22,176.94,7.95,1990.96,190.66
scene-0896,5,47.52,1.2,235.25,3.89,1990.96,190.66
scene-0896,10,77.92,1.56,163.57,8.08,1990.96,190.66
scene-0896,25,97.51,0.09,79.93,7.68,1990.96,190.66
scene-0896,50,99.94,0.03,14.61,1.88,1990.96,190.66
scene-0630,0.5,26.48,0.61,6366.4,168.91,2285.2,101.16
scene-0630,1,35.39,0.61,442.74,3.0,2285.2,101.16
scene-0630,2.5,36.93,0.61,215.21,2.53,2285.2,101.16
scene-0630,5,51.51,0.75,230.63,7.01,2285.2,101.16
scene-0630,10,81.99,0.43,188.01,27.63,2285.2,101.16
scene-0630,25,96.77,0.31,55.57,2.01,2285.2,101.16
scene-0630,50,99.97,0.02,23.7,3.45,2285.2,101.16
scene-0981,0.5,13.61,0.18,4404.17,61.69,803.38,15.15
scene-0981,1,24.99,0.18,523.09,0.95,803.38,15.15
scene-0981,2.5,27.37,1.6,213.06,140.0,803.38,15.15
scene-0981,5,45.96,2.31,314.33,44.39,803.38,15.15
scene-0981,10,72.13,0.74,132.8,3.14,803.38,15.15
scene-0981,25,93.45,0.64,57.79,1.91,803.38,15.15
scene-0981,50,99.64,0.05,22.93,1.58,803.38,15.15
scene-0371,0.5,12.97,0.2,2006.38,36.52,576.55,12.83
scene-0371,1,21.56,0.19,394.26,1.82,576.55,12.83
scene-0371,2.5,23.4,0.22,265.44,13.49,576.55,12.83
scene-0371,5,39.5,1.5,284.22,21.68,576.55,12.83
scene-0371,10,66.26,0.77,138.27,9.96,576.55,12.83
scene-0371,25,94.35,0.31,63.16,1.21,576.55,12.83
scene-0371,50,99.88,0.03,22.34,1.56,576.55,12.83
scene-0534,0.5,13.3,0.55,4322.89,181.22,822.96,44.31
scene-0534,1,24.9,0.57,563.17,1.22,822.96,44.31
scene-0534,2.5,26.07,0.58,112.78,1.51,822.96,44.31
scene-0534,5,48.51,1.37,441.16,26.64,822.96,44.31
scene-0534,10,77.39,1.52,179.37,6.85,822.96,44.31
scene-0534,25,98.14,0.07,103.67,4.36,822.96,44.31
scene-0534,50,99.98,0.04,16.26,1.05,822.96,44.31
scene-0637,0.5,34.3,3.18,9107.48,696.22,3882.8,695.16
scene-0637,1,42.97,3.16,435.86,3.19,3882.8,695.16
scene-0637,2.5,45.04,2.75,246.56,48.68,3882.8,695.16
scene-0637,5,65.17,6.78,420.07,198.82,3882.8,695.16
scene-0637,10,86.54,3.84,145.84,10.0,3882.8,695.16
scene-0637,25,97.89,0.57,64.66,9.62,3882.8,695.16
scene-0637,50,99.79,0.04,10.63,1.47,3882.8,695.16
